created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 17 08:56:17 +0000 2023;1736309327923945600;"@Fahrihamzah #AniesMuhaimin2024  calon presiden terbaik sepanjang masa";0;0;0;0;in;1380567119021006852;1736261663857541595;norbek_imron;https://twitter.com/norbek_imron/status/1736309327923945600
Sun Dec 17 08:44:06 +0000 2023;1736306261006881101;"Kita buktikan dengan kerja nyata, sekali pun orang memfitnah dan menjegal, tapi terus buktikan dan hasilkan kerja nyata terbaik. #AniesMuhaimin2024 #AniesBaswedan #AMINkanIndonesia https://t.co/wfuhzOiwXs";0;0;0;0;in;1636224507328249857;1736306261006881101;maldakristina;https://twitter.com/maldakristina/status/1736306261006881101
Sun Dec 17 08:42:13 +0000 2023;1736305787121881363;"Sudah pasti nomor 1 selalu di hati #AniesMuhaimin2024 #AMINAjaDulu #AMINkanIndonesia https://t.co/LnDxBkngoh";0;0;0;0;in;1636224507328249857;1736305787121881363;maldakristina;https://twitter.com/maldakristina/status/1736305787121881363
Sun Dec 17 08:42:08 +0000 2023;1736305765584155127;"Kampanye Hari ke-20, Anies dijadwalkan Kunjungi Provinsi Aceh  https://t.co/QnBuDnUa1e  #pemilu2024 #Kampanye #AniesMuhaimin2024 #Aceh #pilpres2024 #pemiluindonesia";0;0;0;0;in;1465529152136568833;1736305765584155127;officialntv_;https://twitter.com/officialntv_/status/1736305765584155127
Sun Dec 17 08:40:34 +0000 2023;1736305371466322264;"Anak muda &amp  Gen Z jangan golput di #Pilpres2024. Demi Indonesia AD1L MAKMUR …  Paslon Pilpres 3 Paslon yang kalah 2 Pemenangnya 1  #AMINAjaDulu ☝️ #AniesMuhaimin2024 https://t.co/6pbUF4cy5y";0;0;5;5;in;129750289;1736305371466322264;ZAEffendy;https://twitter.com/ZAEffendy/status/1736305371466322264
Sun Dec 17 08:33:23 +0000 2023;1736303567018070240;"#AniesMuhaimin2024 buktikan dengan kerja nyata";0;0;0;0;in;1636224507328249857;1736303567018070240;maldakristina;https://twitter.com/maldakristina/status/1736303567018070240
Sun Dec 17 08:32:20 +0000 2023;1736303298632888588;"Visi Misi Anies Muhaimin SATU KEMAKMURAN 👇👇👇👇 https://t.co/KGLBBFuSej  #AniesMuhaimin2024 #AMINAjaDulu #AniesPresiden2024 https://t.co/YoEsT9F0rN";0;0;0;0;in;195240195;1736303298632888588;spunmu;https://twitter.com/spunmu/status/1736303298632888588
Sun Dec 17 08:29:28 +0000 2023;1736302579192336763;"Semua masyarakat bergerak secara sukarela. Masyarakat ingin keadilan dan perubahan. #AniesMuhaimin2024 #AMINAjaDulu #AMIN2024";0;0;0;0;in;1636224507328249857;1736302579192336763;maldakristina;https://twitter.com/maldakristina/status/1736302579192336763
Sun Dec 17 08:27:46 +0000 2023;1736302153336267114;"Gak baperan. Kalem menanggapi, gak gebrak-gebrak meja. #AniesMuhaimin2024 #AniesBaswedan #AMINAjaDulu";0;0;0;0;in;1636224507328249857;1736302153336267114;maldakristina;https://twitter.com/maldakristina/status/1736302153336267114
Sun Dec 17 08:20:23 +0000 2023;1736300292575220141;"Langkah Anies menggandeng Ijtima Ulama dianggap publik cara Anies halalkan segala cara untuk memenangkan pemilu 2024.  #GMMTVMUSICONxJKT #AniesMuhaimin2024 😃 https://t.co/RVsUC5AYCf";0;0;0;0;in;1615929735334481920;1736300292575220141;dina666dini;https://twitter.com/dina666dini/status/1736300292575220141
Sun Dec 17 08:20:06 +0000 2023;1736300223465709718;"Langkah Anies menggandeng Ijtima Ulama dianggap publik cara Anies halalkan segala cara untuk memenangkan pemilu 2024.  #GMMTVMUSICONxJKT #AniesMuhaimin2024 😋 https://t.co/3v6P3YCgwA";0;0;0;0;in;1615601514785169408;1736300223465709718;ZilaGabriela;https://twitter.com/ZilaGabriela/status/1736300223465709718
Sun Dec 17 08:19:58 +0000 2023;1736300190137717230;"Langkah Anies menggandeng Ijtima Ulama dianggap publik cara Anies halalkan segala cara untuk memenangkan pemilu 2024.  #GMMTVMUSICONxJKT #AniesMuhaimin2024 😉 https://t.co/t5zNti9TYK";0;0;0;0;in;1615597712703094784;1736300190137717230;tiarasa_666;https://twitter.com/tiarasa_666/status/1736300190137717230
Sun Dec 17 08:19:50 +0000 2023;1736300156482654513;"Langkah Anies menggandeng Ijtima Ulama dianggap publik cara Anies halalkan segala cara untuk memenangkan pemilu 2024.  #GMMTVMUSICONxJKT #AniesMuhaimin2024 https://t.co/5Y9VneKIuo";0;0;0;0;in;1539822135396339712;1736300156482654513;LarasatSephira;https://twitter.com/LarasatSephira/status/1736300156482654513
Sun Dec 17 08:17:35 +0000 2023;1736299588393508894;"@sukaborju @prabowomania @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Bismillaahirrohmaanirrohiim Hasbunallaah Wani'mal Wakiil Ni'mal Mawla Wani'mannashiir #AniesMuhaimin2024 #AniesMuhaimin2024";0;0;0;0;in;113004838;1733413249281138912;Ary_LFC;https://twitter.com/Ary_LFC/status/1736299588393508894
