created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 23 00:51:15 +0000 2023;1738361591656263760;"@ekowboy2 Saya rakyat,kalo diminta menilai....#AniesPresiden2024  ...wapres tidak se-dominan president...jadi, pasangan #AMINTerbaikNomor1";0;0;0;0;in;1604708604732325889;1738202635663257862;GandiSuharso;https://twitter.com/GandiSuharso/status/1738361591656263760
Fri Dec 22 22:37:59 +0000 2023;1738328054982942952;"🥑😍🥰 Masya Allah 𝕋𝔼𝕋𝔸ℙ 𝕊𝔸ℕ𝕋𝕌ℕ 𝓢𝓪𝓵𝓪𝓶 𝓟𝓮𝓻𝓾𝓫𝓪𝓱𝓪𝓷... 𝘼𝙈𝙄𝙉 𝙁𝙊𝙍 𝙄𝙉𝘿𝙊𝙉𝙀𝙎𝙄𝘼 #aminajadulu #2024aniespresiden #allinamin #satuputaran #AniesPresiden2024";0;0;0;1;in;1416277289080213508;1738328054982942952;Rachmad26160992;https://twitter.com/Rachmad26160992/status/1738328054982942952
Fri Dec 22 21:21:53 +0000 2023;1738308904009027821;"Alhamdulillah, Anies dan Gus Imin menemui  JK untuk mengucapkan terima kasih atas dukungannya sebagai caspres 2024. #AniesPresiden2024 #AminMenang #PKS #PartaiUmmat #PKB #Nasdem @aniesbaswedan  https://t.co/jvccigozDo";0;0;0;0;in;704334060;1738308904009027821;studiyanto;https://twitter.com/studiyanto/status/1738308904009027821
Fri Dec 22 21:10:39 +0000 2023;1738306076842565922;"@DidiekMurdock @KRMTRoySuryo1 Asam sulfat, kabel otak, apalagi nanti kosakata lain yg muncul.. 🤪 Semakin yakin utk pilih @aniesbaswedan utk #AniesPresiden2024";0;0;0;1;in;42172161;1738238071571910999;iqbalkidd;https://twitter.com/iqbalkidd/status/1738306076842565922
Fri Dec 22 19:23:45 +0000 2023;1738279175117811978;"@tvOneNews Presiden ku, 👍 #AniesPresiden2024";0;0;0;0;in;599449024;1738153849578492380;GoodHamba;https://twitter.com/GoodHamba/status/1738279175117811978
Fri Dec 22 19:06:59 +0000 2023;1738274955576684547;"Serius nanya, apa pantas seorang calon pemimpin berprilaku begini, apalagi di publik + acara resmi lagi. #AniesPresiden2024 #AniesMuhaimin2024";0;0;0;0;in;599449024;1738274955576684547;GoodHamba;https://twitter.com/GoodHamba/status/1738274955576684547
Fri Dec 22 18:49:41 +0000 2023;1738270602937667838;"TOP LEADER #AMINkanIndonesia #AniesMuhaimin2024 #AniesPresiden2024  Amin | anies | Samsul | belimbing sayur  | debat cawapres | es ge i e | ikn | gibran | slepet  https://t.co/ZEFAwozPkn";0;0;0;0;in;1701668594596339716;1738270602937667838;AntonioJef90818;https://twitter.com/AntonioJef90818/status/1738270602937667838
Fri Dec 22 18:30:57 +0000 2023;1738265886849667219;"@abu_waras Wajah negara adalah presidennya, presiden Indonesia adalah Anies Baswedan bagi saya #AniesPresiden2024";0;0;0;0;in;599449024;1738200394919297038;GoodHamba;https://twitter.com/GoodHamba/status/1738265886849667219
Fri Dec 22 18:29:12 +0000 2023;1738265448196812873;"@abdurarsyad Saya hanya memilih Pak Anies Jadi Presiden, karena wajah utama Indonesia adalah presidennya 👍 #AniesPresiden2024";0;0;0;0;in;599449024;1738220039155945540;GoodHamba;https://twitter.com/GoodHamba/status/1738265448196812873
Fri Dec 22 18:27:09 +0000 2023;1738264929441059145;"Wahhh,, tekniknya mas gibran kok mirip ama bapaknya 😅😅😅 eh iya kan memang anaknya.. 🤭  #samsul #SGIE #TPID #DebatCawapres #gibran #MahfudMD #cakimin #AniesMuhaimin2024 #AniesPresiden2024 #AMINkanIndonesia #AMINAjaDulu";0;0;0;0;in;1351194488467816453;1738264929441059145;Lhegowo2;https://twitter.com/Lhegowo2/status/1738264929441059145
Fri Dec 22 18:23:12 +0000 2023;1738263938079601056;"Tampil Keren dengan pertanyaan SGIE? Oke good 👍 Tapi kok pas ditanya balek, dia lihat contekan (alias baca catatannya) Kesimpulannya: Sebenarnya Dia juga gtw/gak hapal apa itu 🤣 #AMINAjaDulu #AniesMuhaimin2024  #AniesPresiden2024";0;0;0;0;in;599449024;1738263938079601056;GoodHamba;https://twitter.com/GoodHamba/status/1738263938079601056
Fri Dec 22 18:17:45 +0000 2023;1738262564478554367;"Yang Tetap Dukung Pak Anies Jadi Presiden, karena peran wakil tidak seberapa berpengaruh* 👍 *melihat kenyataan Jokowi dan Ma'ruf Amin saat ini.🤣 #AMINAjaDulu  #AniesMuhaimin2024  #AniesPresiden2024";0;0;0;0;in;599449024;1738262564478554367;GoodHamba;https://twitter.com/GoodHamba/status/1738262564478554367
Fri Dec 22 17:14:58 +0000 2023;1738246764887749094;"@Hasbil_Lbs @gibran_tweet HA HA HA… buzzer kluar semua, cari duit 100 rebu aja pake bo’ong segala, gibran tuh pake ear set sama boom mike, buat apa.. udah pasti ada yang bisikin, persis kayak bapaknya doeloe.. 2019.. najis!! #AniesMuhaimin2024  #AniesPresiden2024";0;0;0;0;in;312416359;1738176459330789557;altauf2004;https://twitter.com/altauf2004/status/1738246764887749094
Fri Dec 22 13:58:12 +0000 2023;1738197247245025323;"Rakyat bersama AMIN  #aniespresiden2024 #AMIN #viral https://t.co/yyUnPdnN1U";0;0;0;1;in;1720674176577708032;1738197247245025323;azky_AMIN;https://twitter.com/azky_AMIN/status/1738197247245025323
Fri Dec 22 13:34:42 +0000 2023;1738191332613492974;"Saatnya anak muda pelakuusaha #AniesPresiden2024  #AniesManis  #aniesbaswedan https://t.co/19alPvVrGW";0;0;0;0;in;1681191867956842501;1738191332613492974;fahri_toweren;https://twitter.com/fahri_toweren/status/1738191332613492974
Fri Dec 22 13:26:05 +0000 2023;1738189165874037010;"WOWWW, sungkem sama pak anies🙏🏻 ini keren bgt jawabannya!! Knapa sepi sihh??? #AMINAjaDulu #AniesMuhaimin2024 #AniesPresiden2024 #PemiluDamai2024";0;0;0;0;in;1400585790346780674;1738189165874037010;illbrich;https://twitter.com/illbrich/status/1738189165874037010
Fri Dec 22 13:17:32 +0000 2023;1738187011650191622;"@ekowboy2 @UtomoAdi23 Daging Semua #AniesMuhaimin2024  #AniesPresiden2024";0;0;0;3;in;1569156906077532161;1738185127308792040;Arsyid23;https://twitter.com/Arsyid23/status/1738187011650191622
Fri Dec 22 13:17:28 +0000 2023;1738186998274576589;"Yang comen pendukung 01 semua.😂😂🤣🤣 #AniesPresiden2024  #AniesMuhaimin2024  #AniesPresiden2024";0;0;0;0;in;1584813621694976000;1738186998274576589;poer739;https://twitter.com/poer739/status/1738186998274576589
Fri Dec 22 13:10:47 +0000 2023;1738185312529264731;"Diakui oleh banyak kalangan. #AniesMuhaimin2024 #AniesPresiden2024 #AminPalingSiapUntukIndonesia https://t.co/M79jnAoX8j";0;0;0;0;in;1636224507328249857;1738185312529264731;maldakristina;https://twitter.com/maldakristina/status/1738185312529264731
Fri Dec 22 13:05:51 +0000 2023;1738184074588819708;"Kata mereka tentang Pak Anies, #AniesMuhaimin2024 #AniesPresiden2024 #kerjaaniesmanis";0;0;0;1;in;1636224507328249857;1738184074588819708;maldakristina;https://twitter.com/maldakristina/status/1738184074588819708
Fri Dec 22 13:04:39 +0000 2023;1738183768832393674;"Yaa Tuhan sungguh mulia akhlak pak Anies, inilah pemimpin teladan yang kita harapkan. #AMINkanIndonesia #AniesPresiden2024 #AniesPresiden2024";0;0;0;0;in;1636224507328249857;1738183768832393674;maldakristina;https://twitter.com/maldakristina/status/1738183768832393674
Fri Dec 22 12:59:25 +0000 2023;1738182451850248519;"Ulama bersepakat untuk AMIN, perubahan bangsa lebih baik #AniesMuhaimin2024 #AniesPresiden2024 #AMINkanIndonesia";0;0;0;0;in;1636224507328249857;1738182451850248519;maldakristina;https://twitter.com/maldakristina/status/1738182451850248519
Fri Dec 22 12:49:01 +0000 2023;1738179837603537180;"#AniesPresiden2024  Gunakan akal sehat dan bijak";0;0;0;0;in;1065153326755414016;1738179837603537180;Andika70038787;https://twitter.com/Andika70038787/status/1738179837603537180
Fri Dec 22 12:47:47 +0000 2023;1738179527678066792;"Enqkan makan dirumah sendiri dibanding antri seperti bansos... bisa kelaparan nunggu antrian  #AniesPresiden2024";0;0;0;0;in;1065153326755414016;1738179527678066792;Andika70038787;https://twitter.com/Andika70038787/status/1738179527678066792
Fri Dec 22 12:46:28 +0000 2023;1738179195388432592;"Fitnah memang kejam  #AniesPresiden2024";0;0;0;0;in;1065153326755414016;1738179195388432592;Andika70038787;https://twitter.com/Andika70038787/status/1738179195388432592
Fri Dec 22 12:39:04 +0000 2023;1738177330772861228;"Banten meriah, sambut perubahan. Presiden pilihan rakyat akal sehat, Anies Baswedan #AniesMuhaimin2024 #AniesPresiden2024 #AMINkanIndonesia";0;0;0;0;in;1636224507328249857;1738177330772861228;maldakristina;https://twitter.com/maldakristina/status/1738177330772861228
Fri Dec 22 12:29:39 +0000 2023;1738174961989325201;"Hmmmm rupanya sdhdipraktikkan oleh mas @aniesbaswedan #AniesPresiden2024 #AMINkanIdonesia #wakandanomoreIndonesiaforever";0;0;0;0;in;38141707;1738174961989325201;erz_riz;https://twitter.com/erz_riz/status/1738174961989325201
Fri Dec 22 09:45:32 +0000 2023;1738133660409442305;"Apakah ini bukti keberhasilan?  1. Berhasil swasembada pangan? 2. Berhasil ngimpor?  📢 Mau dilanjutkan atau perubahan?  Samsul 🗣️📣 : Ini X, ini Twitter Zulhas ‼️  #DebatCawapres === Anies - Muhaimin siap #DebatCawapres   #AniesMuhaimin2024 #AMINkanIndonesia #AniesPresiden2024";0;0;1;1;in;1186924460588191744;1738133660409442305;baca_insight;https://twitter.com/baca_insight/status/1738133660409442305
Fri Dec 22 07:49:39 +0000 2023;1738104499968065681;"@are_inismyname @gibran_tweet @prabowo @99propaganda @Ndons_Back @bengkeldodo @P4P4B0W0_2024 @kurawa @seeksixsuck @BANGSAygSUJUD @Alie_Fahnoor @AndreasSolusi @DarekaRendy Politik itu mencerdaskan. Kalo ikut politik malah jadi dungu alias goblok bin pekok berarti ada yang salah.   #SalamAkalSehat #AniesMuhaimin2024  #AniesPresiden2024";0;0;0;0;in;1694717708502437888;1737988465609019797;Dhanifight;https://twitter.com/Dhanifight/status/1738104499968065681
Fri Dec 22 07:03:30 +0000 2023;1738092883767665014;"Ibu, Do'a dan restumu adalah langkahku. Terima kasih terus membimbingku, Semoga selalu diberikan kesehatan dan Diberikan Umur panjang.....Aamiin  @aniesbaswedan @cakimiNOW #AniesMuhaimin2024 #AniesPresiden2024 #cakimin #gusmuhaimin #aniesbaswedan #ibu #HariIbu #hariibu2023 https://t.co/AyYPG3XuVB";0;0;0;1;in;1726778514261860352;1738092883767665014;jatim_laskar;https://twitter.com/jatim_laskar/status/1738092883767665014
Fri Dec 22 06:47:23 +0000 2023;1738088826739077149;"Semoga semakin memantapkan langkah #AniesPresiden2024 dan kita semua akan #AMINAjaDulu";0;0;0;0;in;2916157333;1738088826739077149;bm_marhamah;https://twitter.com/bm_marhamah/status/1738088826739077149
