created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 23 01:30:40 +0000 2023;1738371511860494550;"Pasar Teknologi untuk CCUTS (carbon capture, utilization, transportatiob and storage) mencapai 14,2 Miliar USD di tahun 2030.  #CCS #Samsul #DebatCawapres2023 https://t.co/BoIBErNVCg";0;4;2;9;in;119691957;1738371511860494550;aewin86;https://twitter.com/aewin86/status/1738371511860494550
Sat Dec 23 00:32:02 +0000 2023;1738356754705182755;"Pasca Debat Cawapres Pertama KPU RI semalam, awak pilih yang mano?  #Pilpres #DebatCawapres2023";0;0;0;0;in;376590199;1738356754705182755;AboutPalembang;https://twitter.com/AboutPalembang/status/1738356754705182755
Sat Dec 23 00:16:29 +0000 2023;1738352844154229237;"Jangan sampe naik harga https://t.co/WTeZgo5Trk  #debatcapres #DebatCawapres #DebatCawapres2023 #GibranMembuktikan https://t.co/hJHhEJlK9h";0;0;0;0;in;1689112557951553536;1738352844154229237;Nurulaiinih;https://twitter.com/Nurulaiinih/status/1738352844154229237
Fri Dec 22 22:21:33 +0000 2023;1738323920976261458;"Bicara bahan bakar nabati, semua kok bertumpu pada sawit. Padahal banyak bahan bakar nabati lho :) Kalau cuma sawit akan dimonopoli pengusaha sawit besar aja kayak Wilmart dlnya. Gibran paham gak?  #DebatCawapres2023";0;0;0;0;in;286607680;1738323920976261458;faridaindria;https://twitter.com/faridaindria/status/1738323920976261458
Fri Dec 22 22:07:46 +0000 2023;1738320452228137425;"Turunkan pajak kelas menengah di Indonesia 2. Berantas mafia 3. Bansos plus, sehingga kemampuan daya beli untuk dongkrak perekonomian 4. Kredit Usaha Anak Muda  #SlepetAjaGus #SlepetNomic #AniesMuhaimin2024  ~Cak Imin #DebatCawapres2023 https://t.co/wk3RkG4dOu";0;0;0;1;in;1676267592015818752;1738320452228137425;TriAnto31714;https://twitter.com/TriAnto31714/status/1738320452228137425
Fri Dec 22 20:01:06 +0000 2023;1738288575891009633;"Pilih pemimpin seperti beliau  #IndonesiaHijau #DebatCawapres #DebatCapres #DebatCawapers #debatcapres2023 #DebatPilpres2024 #DebatCawapres2023 #DebatCawapres2024 #Pemilu2024 #Pemiluindonesiadamai2024 #PemiluDamai2024 #GibranMembuktikan #AnisMuhaimin2024 #GanjarMahfud2024 #debat https://t.co/sMeWH1046s";0;0;0;0;in;1444580334;1738288575891009633;melosky_83;https://twitter.com/melosky_83/status/1738288575891009633
Fri Dec 22 19:25:35 +0000 2023;1738279635916632512;"Prof @mohmahfudmd nggak ada lawan. Harusnya beliau yang capres, hehe. Maaf ya mas @ganjarpranowo aku ngomong apa adanya, jenengan kebanyakan blunder. #DebatCawapers  #DebatPilpres  #debatcapres2023  #DebatCawapres2023";0;0;0;0;in;979600630644813824;1738279635916632512;Den_ihyaa;https://twitter.com/Den_ihyaa/status/1738279635916632512
Fri Dec 22 19:06:36 +0000 2023;1738274856410755238;"Sensasinya "terlihat atau merasa" menang saat debat paling beberapa menit juga.. Menilai capres cawapres harus menyeluruh dari segala aspek. Apa yg saat ini dilakukan, masa lalu nya dan janjinya👍🏻 #DebatCawapres2023";0;0;0;0;in;1533396840938229760;1738274856410755238;haloinipem;https://twitter.com/haloinipem/status/1738274856410755238
Fri Dec 22 18:53:52 +0000 2023;1738271652465815936;"Stunting itu masalah gizi buruk,masalah gizi itu tentang kesehatan,investasi jangka panjang itu "kecerdasan",kecerdasan itu masalah pendidikan,gizi anak kota mungkin lebih baik dr anak desa,tp soal kecerdasan anak desa byk yang jauh lebih cerdas.#Pilpres2024 #DebatCawapres2023";0;0;0;0;in;1081271199341076481;1738271652465815936;BustoniFikri4;https://twitter.com/BustoniFikri4/status/1738271652465815936
Fri Dec 22 18:51:28 +0000 2023;1738271048775446548;"Mahfud Patahkan Gibran: Target Rasio Pajak Anda Tak Masuk Akal  https://t.co/yiJ5RvBjnC  #Pemilu2024 #MahfudMD #GibranRakabuming #Pajak #DebatCawapres #DebatCawapres2023 #NewsUpdate";0;1;0;0;in;1465529152136568833;1738271048775446548;officialntv_;https://twitter.com/officialntv_/status/1738271048775446548
