created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 23 02:07:44 +0000 2023;1738380838973460921;"@Gus_Raharjo Aku yakin banget nih kalau pak #MahfudLebihBaik pastinya, semangat dukung Ganjar Mahfud Satset dalam melayani rakyat, memajukan dan mensejahterakan rakyat Indonesia ❤️ https://t.co/AWerFn6SFP";0;0;0;0;in;1701236215222038529;1738174927294124265;elshafira_maiza;https://twitter.com/elshafira_maiza/status/1738380838973460921
Sat Dec 23 02:02:41 +0000 2023;1738379568191549582;"@gibran_tweet GAK KONSISTEN SEPERTI ANDA DUKUNG GANJAR UNTUK JADI PRESIDEN TAPI ANDA MALAH BELOK, MALAH UDAH BIKIN VIDEONYA LAGI 🤣🤣🤣.. WKWKWKWK";0;0;0;0;in;482728725;1738220495961813101;BocahDablek19;https://twitter.com/BocahDablek19/status/1738379568191549582
Sat Dec 23 01:59:10 +0000 2023;1738378683436421292;"YoshY83919872: 😂 Sul . . Samsul,ini kelepas dari sisiran Sul! 😂 QT akupadi5: Capres sebelah kecolongan ribuan mahasiswa ramai-ramai dukung Ganjar capres 2024 foyNghLPgz   #Mahfud3 #GanjarLebihBaik3 Hebat Ganjar Mahfud #MahfudLebihBaik3 Debat";0;0;0;0;in;2572335474;1738378683436421292;AcoustEvents;https://twitter.com/AcoustEvents/status/1738378683436421292
Sat Dec 23 01:50:38 +0000 2023;1738376538608070922;"@AirinDatangLagi Gaspol dukung Ganjar Mahfud menuju Indonesia unggul #MahfudLebihBaikGanjarMahfudSatSet";0;0;0;1;in;1704311700378484736;1738168466677592401;Donny1254331;https://twitter.com/Donny1254331/status/1738376538608070922
Sat Dec 23 01:49:37 +0000 2023;1738376279307772344;"Gaspol dukung Ganjar Mahfud untuk Indonesia lebih baik #MahfudLebihBaik Ganjar Mahfud Satset https://t.co/20tFY2LmIU";0;0;0;0;in;1705936376536207360;1738376279307772344;AArdi39581;https://twitter.com/AArdi39581/status/1738376279307772344
Sat Dec 23 01:40:54 +0000 2023;1738374089369157639;"YoshY83919872: 😂 Sul . . Samsul,ini kelepas dari sisiran Sul! 😂 QT akupadi5: Capres sebelah kecolongan ribuan mahasiswa ramai-ramai dukung Ganjar capres 2024 foyNghLPgz   #Mahfud3 #GanjarLebihBaik3 Hebat Ganjar Mahfud #MahfudLebihBaik3 Debat";0;0;0;0;in;941664822;1738374089369157639;nhuhoa99;https://twitter.com/nhuhoa99/status/1738374089369157639
Sat Dec 23 01:36:07 +0000 2023;1738372884668825979;"@KompasTV AYO DUKUNG GANJAR-MAHFUD UNTUK INDONESIA MAJU🔥🔥";0;0;0;0;in;1711545831210590208;1738201612487995551;cacinggkecill33;https://twitter.com/cacinggkecill33/status/1738372884668825979
Sat Dec 23 01:35:37 +0000 2023;1738372759586275733;"@narkosun AYO DUKUNG GANJAR-MAHFUD UNTUK INDONESIA MAJU🔥🔥 #MahfudLebihBaik Ganjar Mahfud Satset";0;0;0;0;in;1711545831210590208;1738168536953167992;cacinggkecill33;https://twitter.com/cacinggkecill33/status/1738372759586275733
Sat Dec 23 01:34:45 +0000 2023;1738372537560514961;"mediaindonesia Ganjar terbaik dukung Ganjar Pranowo sampai m3nang ganjar   #GanjarLebihBaik3 Mahfud Hebat #MahfudLebihBaik3 #SatSet3 #MahfudJuara";0;0;0;0;in;1106990685985497088;1738372537560514961;shankardtere201;https://twitter.com/shankardtere201/status/1738372537560514961
Sat Dec 23 01:34:29 +0000 2023;1738372473681289696;"mediaindonesia Ganjar terbaik dukung Ganjar Pranowo sampai m3nang ganjar   #GanjarLebihBaik3 Mahfud Hebat #MahfudLebihBaik3 #SatSet3 #MahfudJuara";0;0;0;0;in;1322599831383154688;1738372473681289696;Shubham24150195;https://twitter.com/Shubham24150195/status/1738372473681289696
Sat Dec 23 01:32:42 +0000 2023;1738372025683730697;"AYO DUKUNG GANJAR-MAHFUD UNTUK INDONESIA MAJU🔥🔥 #MahfudLebihBaik Ganjar Mahfud Satset https://t.co/DziQR4Fkhq";0;0;0;0;in;1711545831210590208;1738372025683730697;cacinggkecill33;https://twitter.com/cacinggkecill33/status/1738372025683730697
Sat Dec 23 01:29:47 +0000 2023;1738371287930843497;"@detikcom AYO DUKUNG GANJAR-MAHFUD UNTUK INDONESIA MAJU🔥🔥JANGAN PERNAH RAGU BUAT DUKUNG BELIAU";0;0;0;0;in;1711545831210590208;1738066836720377916;cacinggkecill33;https://twitter.com/cacinggkecill33/status/1738371287930843497
Sat Dec 23 01:27:29 +0000 2023;1738370712291684507;"YoshY83919872: 😂 Sul . . Samsul,ini kelepas dari sisiran Sul! 😂 QT akupadi5: Capres sebelah kecolongan ribuan mahasiswa ramai-ramai dukung Ganjar capres 2024 foyNghLPgz   #Mahfud3 #GanjarLebihBaik3 Hebat Ganjar Mahfud #MahfudLebihBaik3 Debat";0;0;0;0;in;1524421097239846913;1738370712291684507;GustavoSilva080;https://twitter.com/GustavoSilva080/status/1738370712291684507
Sat Dec 23 01:13:46 +0000 2023;1738367259394056246;"Salut buat Diaspora , pilih dukung Ganjar -Mahfud utk Indonesia yg lebih baik";0;0;0;0;in;1612680891771551744;1738367259394056246;benzeri_arios;https://twitter.com/benzeri_arios/status/1738367259394056246
Sat Dec 23 01:09:20 +0000 2023;1738366145261121683;"@detikcom Cak imin payah, harusnya langsung balas. Anda juga tidak konsisten beberapa bulan lalu bikin video dukung ganjar dan suruh pilih ganjar di 14feb2024. Tapi skrg malah suruh pilih anda dan pak prabowo.";0;0;0;1;in;62184923;1738364084750614657;kumiz_ardi;https://twitter.com/kumiz_ardi/status/1738366145261121683
