created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 19:34:09 +0000 2023;1739006565527728593;"@elsaday__ Gaspolll dukungan penuh Ganjar Mahfud untuk Indonesia jauh lebih baik, Indonesia maju bersama #MahfudLebihBaik #GanjarMahfudSatset";0;0;0;0;in;1691706857054973952;1738167604379021577;Gilangssptr;https://twitter.com/Gilangssptr/status/1739006565527728593
Sun Dec 24 19:33:43 +0000 2023;1739006457155379464;"Gaspolll dukungan penuh Ganjar Mahfud untuk Indonesia jauh lebih baik, Indonesia maju bersama #MahfudLebihBaik #GanjarMahfudSatset https://t.co/3lDb9QsgHu";0;0;0;0;in;1691706857054973952;1739006457155379464;Gilangssptr;https://twitter.com/Gilangssptr/status/1739006457155379464
Sun Dec 24 18:23:08 +0000 2023;1738988697394245825;"🅂🄰🅃 🅂3🅃 - 🅃🄰🅂 🅃3🅂 𝔾𝔸𝕟𝕛𝕒𝕣𝕄𝔸𝕙𝕗𝕦𝕕 𝟚𝟘𝟚𝟜 🇮🇩🥰 .  Advokat Muda Dukung Ganjar Mahfud Pimpin Bangsa .  #GanjarMahfud2024 #GanjarMahfudSatSet #GanjarMahfudPilihanRakyat #GasssGanjarMahfud .  https://t.co/b3KwJH6YcW https://t.co/h9QpocCH7K";0;0;0;0;in;2495508415;1738988697394245825;Darmawan_bs;https://twitter.com/Darmawan_bs/status/1738988697394245825
Sun Dec 24 18:11:22 +0000 2023;1738985733824876997;"🄼3🅁🄰🄺🅈🄰🅃 🄱🄰🄽🄶🄴🅃 𝐄𝐦𝐚𝐧𝐠 𝐁𝐨𝐥𝐞𝐡, 𝐬𝐞𝐝𝐞𝐤𝐚𝐭 𝐝𝐚𝐧 𝐬𝐞𝐚𝐤𝐫𝐚𝐛 𝐢𝐧𝐢... ✊🏽🤟🇮🇩 Warga Nanya Langsung KTP Sakti Program Ganjar-Mahfud 🥰 #GanjarMahfud2024 #GanjarMahfudSatSet #GanjarMahfudPilihanRakyat #SoloBukanGibran .  https://t.co/3j7aqduh1E https://t.co/BlGIFYDFEu";0;0;0;0;in;2495508415;1738985733824876997;Darmawan_bs;https://twitter.com/Darmawan_bs/status/1738985733824876997
Sun Dec 24 18:01:19 +0000 2023;1738983204613492978;"🅶🅰🆂🅿🅾🅾🅾🅻 ✊🏽🤟🇮🇩 Monggo, Mangga Pilih no 3 Ganjar - Mahfud MD.  .  #GanjarMahfud2024 #GanjarMahfudSatSet #GanjarMahfudPilihanRakyat #GasssGanjarMahfud  https://t.co/aC82UBvkyG https://t.co/bJfp5LKYYW";0;0;0;0;in;2495508415;1738983204613492978;Darmawan_bs;https://twitter.com/Darmawan_bs/status/1738983204613492978
Sun Dec 24 15:35:51 +0000 2023;1738946596228997277;"Terlihat memang kualitasnya.. mana yang memang mengapdi buat Rakyat.. #GanjarMahfudSatset #ViratKohli #INDvsBAN #paktelur https://t.co/SxvjLbryDX";0;0;0;0;in;984110618021052416;1738946596228997277;HaleyLuhooo;https://twitter.com/HaleyLuhooo/status/1738946596228997277
Sun Dec 24 15:25:59 +0000 2023;1738944112160915807;"@oka_yudara Salute n Respect buat Tim Darat #JangkarBaliShanti  Semangat berkobar 🤟🤟🤟 #GasssGanjarMahfud #GanjarMahfudSatset  #GanjarMahfudM3nang";0;1;0;1;in;1538326952699777024;1738872287309504649;S1n_T0ng;https://twitter.com/S1n_T0ng/status/1738944112160915807
Sun Dec 24 15:20:55 +0000 2023;1738942837633544208;"@__AnakKolong @caesar_emil @ganjarpranowo @mohmahfudmd @ArsjadRasjid @puanmaharani_ri 😂😂😂 Salam 🤟 #GanjarMahfudSatset";0;0;0;2;in;1659779740499320832;1738936497494208662;thelastprince65;https://twitter.com/thelastprince65/status/1738942837633544208
Sun Dec 24 15:02:47 +0000 2023;1738938275321221358;"@dehadaud @RaniKancana Yup mereka membuat isu BLT dan bantuan lain akan dihentikan kalau kubu predator demokrasi kalah  #GanjarMahfudSatset  🤟🤟";0;2;0;2;in;1659779740499320832;1738712392773796336;thelastprince65;https://twitter.com/thelastprince65/status/1738938275321221358
Sun Dec 24 14:44:27 +0000 2023;1738933659955294554;"Ooow, ya pasti !   Mumpuni, THE REAL SUHU.   #GanjarMahfudSatset  #GanjarMahfudTasTes https://t.co/D4waH7eT1o";0;0;0;1;in;1613806053631852546;1738933659955294554;Christyoko22;https://twitter.com/Christyoko22/status/1738933659955294554
