created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 14:37:36 +0000 2023;1738931938239668435;"Debat Cawapres : Siapa Lebih Unggul ?  #GibranMembuktikan #MahfudLebihBaik #CakIminMenangDebat https://t.co/LahTVlVg4u";0;0;0;0;in;1437431744035123202;1738931938239668435;_jejakkita;https://twitter.com/_jejakkita/status/1738931938239668435
Sun Dec 24 14:35:19 +0000 2023;1738931362386915618;"Raffi Ahmad hingga Arumi Bachsin kawal Gibran di debat, Citra Kirana pamer foto gemoy bareng Prabowo.  #CakIminMenangDebat #MahfudLebihBaik #GibranRakabuming #TrumpSmellsBad #afuaasantewaasingathon https://t.co/M0UM1GDgUX";0;0;0;0;in;1437431744035123202;1738931362386915618;_jejakkita;https://twitter.com/_jejakkita/status/1738931362386915618
Sun Dec 24 14:29:39 +0000 2023;1738929935769899287;"DEBAT CAWAPRES : SIAPA LEBIH UNGGUL ???  #Gibran2024 #DebatCawapres #Muhaimin #MahfudLebihBaik https://t.co/hG961EPZOl";0;0;0;0;in;1437431744035123202;1738929935769899287;_jejakkita;https://twitter.com/_jejakkita/status/1738929935769899287
Sun Dec 24 13:48:40 +0000 2023;1738919624115388661;"Kren nih program pa @ganjar @mohmahfudmd  kenalkn internet gratis,jdi inget pa covid,coba klu ada internet gratis anak sekolh  #GanjarMahfudPilihanRakyat  #MahfudLebihBaik https://t.co/qXWVQoi3n8";0;0;0;2;in;710566116553166849;1738919624115388661;veraagustian_;https://twitter.com/veraagustian_/status/1738919624115388661
Sun Dec 24 13:46:26 +0000 2023;1738919061378232404;"Pasngn Survey terfavorit  ganjar mahfud unggul,pokonya  #MahfudLebihBaik https://t.co/MMmQS66u8E";0;0;0;0;in;710566116553166849;1738919061378232404;veraagustian_;https://twitter.com/veraagustian_/status/1738919061378232404
Sun Dec 24 13:43:00 +0000 2023;1738918196412088401;"Hoaks aja dibantai, apalagi koruptor wkwkwk  #hoaks #GanjarMahfud2024 #SatSet #SatSetLebihBaik #PastiLebihBaik #MahfudLebihBaik #LanjutGANsemuakerja https://t.co/fhe3T7vNnL";0;0;0;0;in;1655422069193183232;1738918196412088401;darianjefrrey_w;https://twitter.com/darianjefrrey_w/status/1738918196412088401
Sun Dec 24 13:17:38 +0000 2023;1738911812735975591;"Dengan memperhatikan Petani,mulai akses pupuk dan pelayanan kepada petani maka petani akan bangga dengan bertani. #mahfudlebihbaik #pemilihanpresiden2024 #pastilebihbaik #ganjarpranowo #ganjarmahfud2024 #GanjarMahfud #paktelur https://t.co/0C6rvYmtVI";0;0;0;0;in;1602043690788454401;1738911812735975591;umatsambat_;https://twitter.com/umatsambat_/status/1738911812735975591
Sun Dec 24 13:14:30 +0000 2023;1738911024823308750;"Sembako Murah rakyat pun senang #paktelur #GanjarMahfud #ganjarmahfud2024 #ganjarpranowo #pastilebihbaik #pemilihanpresiden2024 #mahfudlebihbaik https://t.co/fPdp25ZCOE";0;0;0;0;in;1602043690788454401;1738911024823308750;umatsambat_;https://twitter.com/umatsambat_/status/1738911024823308750
Sun Dec 24 12:15:07 +0000 2023;1738896080513949807;"@Naandaa27 @mohmahfudmd Mantap #MahfudLebihBaik";0;0;0;0;in;1411227935613222915;1738893153061802048;Yulia_NS79;https://twitter.com/Yulia_NS79/status/1738896080513949807
Sun Dec 24 11:43:53 +0000 2023;1738888220082127257;"Mari kita bangun Indonesia yang lebih baik! aku percaya Ganjar-Mahfud bisa mewujudkannya!  #ganjarmahfud #SatSet #PastiLebihBaik #MahfudLebihBaik #pemilu2024 #DebatCawapres https://t.co/TXad10j9e0";0;0;0;0;in;1577148925479645184;1738888220082127257;ajeng_mahrani;https://twitter.com/ajeng_mahrani/status/1738888220082127257
