created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 23 01:00:29 +0000 2023;1738363915040600414;"Bismillah Hinaan jadi Berkah... Blimbing Sayur jadi wakil Presiden 😀😀😀 #GibranMembuktikan  #gibranrakabumingraka  #PrabowoGemoy  #PrabowoGibran2024";0;0;0;0;in;1312504434;1738363915040600414;AdjiMix;https://twitter.com/AdjiMix/status/1738363915040600414
Fri Dec 22 19:00:49 +0000 2023;1738273401226342642;"Saya berharap Pemilu tetap damai dan aman sentosa #pemiludamai #pilpresdamai #prabowogibran #prabowosubianto #prabowogemoy #makansiangdansusugratis #menangbersamarakyat #saatnyaprabowo #prabowocintadamai #prabowodamai https://t.co/gyg2g12Apk";0;0;0;0;in;1721091642466377728;1738273401226342642;ayungmalakua_;https://twitter.com/ayungmalakua_/status/1738273401226342642
Fri Dec 22 18:57:58 +0000 2023;1738272685275427190;"Semoga Pemilu tetap damai #pemiludamai #pilpresdamai #prabowogibran #prabowosubianto #prabowogemoy #makansiangdansusugratis #menangbersamarakyat #saatnyaprabowo #prabowocintadamai #prabowodamai https://t.co/nmxZ6U5sQi";0;0;0;1;in;1721091642466377728;1738272685275427190;ayungmalakua_;https://twitter.com/ayungmalakua_/status/1738272685275427190
Fri Dec 22 17:23:35 +0000 2023;1738248934097891494;"Srikandi Demokrat No. Urut 6, Jakarta Utara Dapil III, Caleg DPRD DKI. All Out Perjuangkan Hal -Hak Perempuan dan Anak.. Ayo Kaum Perempuan, Pemuda &amp  Pemudi Coblos No 6 . 🖐🖕 #Demokratmenang #PrabowoGemoy - Presiden ke 8 https://t.co/KZt8lF0Im0";0;0;0;0;in;1685957994624999425;1738248934097891494;VerryVike2196;https://twitter.com/VerryVike2196/status/1738248934097891494
Fri Dec 22 17:15:29 +0000 2023;1738246894256837113;"Capres kita yg gemoy.. Kebayang dia jd RI1..manggil org pke pistol atau lempar hp.. Adab dan etika yg sangat luhur..🤣🤣🤣 #PrabowoGemoy  #GanjarMahfud2024  #prabow";0;0;0;0;in;63154385;1738246894256837113;benzgabriel;https://twitter.com/benzgabriel/status/1738246894256837113
Fri Dec 22 15:59:46 +0000 2023;1738227842381750602;"To This.. Apa pendapat kalian?  https://t.co/a5hAPjCMCH  Video dari @MurtadhaOne1  #DebatCawapres  #IndonesiaDamai  #PrabowoGemoy #Etik   Berperilakulah yang baik, semua orang akan menilaimu pak..🙏🏻🙏🏻😊😊 https://t.co/Gz1PQQzym5";0;0;0;0;in;3052066627;1738227816779726914;Nurah1310;https://twitter.com/Nurah1310/status/1738227842381750602
Fri Dec 22 15:12:08 +0000 2023;1738215854226182214;"diam dibully, bergerak mengulti.  #PrabowoGemoy #PrabowoGibran2024 #Gibran2024 #GibranMembuktikan";0;0;0;0;in;4688311286;1738215854226182214;srihedy30;https://twitter.com/srihedy30/status/1738215854226182214
Fri Dec 22 15:03:42 +0000 2023;1738213730838843877;"Apakah ini dinamakan capres suka nonton film porno #ganjarporno #DebatCawapres  #400T #CakIminGakJelas  #pdipnyungsep #ganjarmahfudkalah #PrabowoGibranIstimewa  #PrabowoGibran2024  #PrabowoGemoy  #pdipkalah https://t.co/pptMUiPnLL";0;0;0;0;in;2479592282;1738213730838843877;aliv_fahrudin;https://twitter.com/aliv_fahrudin/status/1738213730838843877
Fri Dec 22 15:00:48 +0000 2023;1738213002674106484;"@hariqosatria semua yg disampaikan oleh mas gibran, sesuai dengan visi misi yg sudah diusung. MANTAPPP KEREN BGT MAS GIBRAN  #DebatCawapres #PrabowoGemoy";0;0;0;1;in;303130583;1738210106347839772;ArgyVagery;https://twitter.com/ArgyVagery/status/1738213002674106484
Fri Dec 22 14:50:53 +0000 2023;1738210504462782518;"Entah knp ga suka aja sama acara debat, soalnya cuman janji doang tapi ga ditepati, cuaks. ......  Ga janji ga makan 🤣🤣🤣  #PemiluDamai2024 #DebatCawapres #narasi #najwashihab #AniesMuhaimin2024 #GanjarMahfudSatset #PrabowoGibran2024 #PrabowoGemoy https://t.co/4yaeDwGWll";0;0;0;1;in;1603897442218364928;1738210504462782518;Dek_yuks;https://twitter.com/Dek_yuks/status/1738210504462782518
Fri Dec 22 14:49:00 +0000 2023;1738210031324348773;"Biarin aja pak mulut mulut sampah di luar sana, tunjukan bahwa bapak dan mas gibran bisa membangun indonesia untuk rakyat  #prabowo #prabowogemoy #makinsukapakgemoy #prabowogibran #DebatCawapres Gibran Cak Imin SGIE #SlepetNomic  #02Melanjutkan 400 T Pak Mahfud Arab https://t.co/vJCafTQqnN";0;0;4;10;in;2756624962;1738210031324348773;intanmentariw;https://twitter.com/intanmentariw/status/1738210031324348773
Fri Dec 22 14:45:09 +0000 2023;1738209064512106619;"Itu lah pecundang menyerang personal karna hanya itu yg dia bisa,  Tetap sabar ya pak prabowo  #prabowo #prabowogemoy #makinsukapakgemoy #prabowogibran #DebatCawapres Gibran Cak Imin SGIE #SlepetNomic  #02Melanjutkan 400 T Pak Mahfud Arab https://t.co/5N57Z4oRJC";0;2;6;25;in;1353681014;1738209064512106619;nazharaaR;https://twitter.com/nazharaaR/status/1738209064512106619
Fri Dec 22 14:44:08 +0000 2023;1738208806688231579;"Bener banget saya bangga pak prabowo yang skrng ini lebih diam kalem dingin menyikapi tuduhan tuduhan fitnahan, lanjutkanpak #prabowo #prabowogemoy #makinsukapakgemoy #prabowogibran #DebatCawapres Gibran Cak Imin SGIE #SlepetNomic  #02Melanjutkan 400 T Pak Mahfud Arab https://t.co/TkwStw4H4C";0;2;6;14;in;1353681014;1738208806688231579;nazharaaR;https://twitter.com/nazharaaR/status/1738208806688231579
Fri Dec 22 14:05:12 +0000 2023;1738199009721004361;"Mari kita ciptakan pemilu damai 2024 #PrabowoGibran #PrabowoGemoy #PemiluDamai2024 #fyp ✌️ ✌️   https://t.co/lVBsQlAtoc";0;0;0;0;in;1721714328406257664;1738199009721004361;nugra38897;https://twitter.com/nugra38897/status/1738199009721004361
Fri Dec 22 13:45:30 +0000 2023;1738194050665361528;"Prabowo - Gibran tetap di 2024 dan menang satu putaran #PrabowoGibran #PrabowoGemoy #fyp #PemiluDamai2024 #antihoaks   https://t.co/n90B2TUgLA";0;0;0;0;in;1721714328406257664;1738194050665361528;nugra38897;https://twitter.com/nugra38897/status/1738194050665361528
Fri Dec 22 13:42:43 +0000 2023;1738193348660527302;"Apapun masalah dalam hidup solusinya harus di SLEPET😅 #DebatCawapres #GibranMembuktikan  #PrabowoGemoy";0;0;0;1;in;1456227089208594440;1738193348660527302;adipapa29;https://twitter.com/adipapa29/status/1738193348660527302
Fri Dec 22 13:24:51 +0000 2023;1738188853708812603;"Tabah dan bersyukur #02Lanjutkan #PrabowoGemoy #SaatnyaPrabowo #DebatCapres #EnergiPositifGIBRAN https://t.co/TvAQSRsuTV";0;0;1;5;in;277494840;1738188853708812603;ahmadbismantyo;https://twitter.com/ahmadbismantyo/status/1738188853708812603
Fri Dec 22 13:22:00 +0000 2023;1738188136495317470;"Pemilu damai tanpa ada hoaks dan fitnah #PrabowoGibran #PrabowoGemoy #fyp #PemiluDamai #antihoaks ✌️ https://t.co/kBrRaW7x22";0;0;0;0;in;1721714328406257664;1738188136495317470;nugra38897;https://twitter.com/nugra38897/status/1738188136495317470
Fri Dec 22 12:11:33 +0000 2023;1738170408090894436;"Kontroversi jokes Anies Baswedan: 'Nun Mati Bertemu Alif' Ke Cak imin  Picu Debat Panas di Medsos #AniesTerpelajar #PrabowoGemoy  #Ganjarmenang #viral #vivekbindra  https://t.co/jSm1xbXfIN";0;0;0;0;in;1464132600604381185;1738170408090894436;JurnalNgawi;https://twitter.com/JurnalNgawi/status/1738170408090894436
Fri Dec 22 11:56:07 +0000 2023;1738166525683728415;"Malam Ini! LINK NONTON Debat Cawapres 2024 Gratis https://t.co/g71SzLKPcS #debatcawapres #cawapres #GanjarMahfud #AMINkanIndonesia #PrabowoGibran2024 #PrabowoGemoy #DebatCawapres #cawapres2024";0;0;0;0;in;1410971549486653441;1738166525683728415;paparaziaja;https://twitter.com/paparaziaja/status/1738166525683728415
Fri Dec 22 11:55:37 +0000 2023;1738166399670063248;"“Paslon Prabowo-Gibran merajai dukungan keterpilihan dari generasi Z, milenial dan generasi X,” pungkas Chairul. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas #PrabowoGemoy Prabowo Subianto";0;0;0;0;in;1485922326453841921;1738166334134141341;mingskyyy_;https://twitter.com/mingskyyy_/status/1738166399670063248
Fri Dec 22 11:55:37 +0000 2023;1738166396318896502;"membuat Prabowo-Gibran memperoleh limpahan dukungan dari generasi yang akan paling banyak memilih di kontestasi Pilpres 2024 tersebut.  #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1485922326453841921;1738166334134141341;mingskyyy_;https://twitter.com/mingskyyy_/status/1738166396318896502
Fri Dec 22 11:55:36 +0000 2023;1738166393298989361;"Dengan program pro anak muda seperti kartu start up hingga pembangunan hunian vertikal,   #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1485922326453841921;1738166334134141341;mingskyyy_;https://twitter.com/mingskyyy_/status/1738166393298989361
