created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 17 08:06:31 +0000 2023;1736296803912524014;"Saat masih berpangkat Kolonel, @prabowo menginisiasi &amp  melatih 1000 sarjana penggerak utk diterjunkan ke desa" tertinggal.  Tahun 2009, atau 14 tahun lalu. @prabowo dgn dana pribadi telah membagikan susu gratis, makanan &amp  membantu biaya pendidikan.  #PrabowoGibran2024 https://t.co/nDTQgvOamV";0;1;0;0;in;1717507546037313536;1736296790666916091;_NusantaraLand_;https://twitter.com/_NusantaraLand_/status/1736296803912524014
Sun Dec 17 08:06:29 +0000 2023;1736296796392235520;"Sejak usia 17 tahun, Prabowo sudah terlibat membangun desa. Prabowo bersama beberapa mahasiswa membentuk LSM Lembaga Pembangunan. Sebuah korps pionir yang tujuannya ke desa-desa.  #PrabowoGibran2024 https://t.co/KJM3JTB96w";0;1;0;0;in;1717507546037313536;1736296790666916091;_NusantaraLand_;https://twitter.com/_NusantaraLand_/status/1736296796392235520
Sun Dec 17 08:06:28 +0000 2023;1736296790666916091;"Saya ingin masyarakat terbebas dr rentenir Prabowo Subianto. @prabowo akhirnya mngaku, ada bberapa hal yg bs mmbuat dirinya menangis, ktka mlihat penderitaan, ktka mlihat bangsa Indonesia brprestasi, kemudian ktka ia mngetahui pasukannya gugur dlm mmbela NKRI #PrabowoGibran2024 https://t.co/8Eptxsf5uq";0;1;1;2;in;1717507546037313536;1736296790666916091;_NusantaraLand_;https://twitter.com/_NusantaraLand_/status/1736296790666916091
Sun Dec 17 07:43:56 +0000 2023;1736291121918292179;"SABTU BIRU PAPERA    Rangkaian Acara Kegiatan Sabtu Biru Papera, Membagikan Susu dan Alat Tulis Gratis Kepada  Anak - Anak Sekolah di Kali Baru Jakarta Utara.  @prabowo  @gibrantweet  @SudaryonoSudar  @don_muzakir_   #PrabowoGibran2024 #prabowogibranistimewa https://t.co/2u41AMHs4z";0;0;0;0;in;1678378823296118785;1736291121918292179;DPP_Papera;https://twitter.com/DPP_Papera/status/1736291121918292179
Sun Dec 17 07:43:34 +0000 2023;1736291029643645228;"Berikut Kegiatan mas @gibran_tweet selama di IKN,  Mas Gibran juga  melakukan Diskusi Bersama masyarakat.  Ini adalah contoh pemimpin yang selalu dekat dengan masyarakat.   #PrabowoGibran2024  PrabowoGibran #KuatdanHebat  Ndasmu https://t.co/oyT1UXlz6U";0;0;1;2;in;2520613604;1736291029643645228;iAmLogan95;https://twitter.com/iAmLogan95/status/1736291029643645228
Sun Dec 17 07:39:32 +0000 2023;1736290012050903536;"Tani Merdeka Hadir Di Tengah - Tengah Para Petani Untuk Menampung dan Mendengarkan Aspirasi Para Petani.  @prabowo @gibran_tweet  #PrabowoSubianto #prabowogibran #prabowogibran2024 #prabowo #prabowopresiden #pemersatubangsa #masdar #untukbangsa #untukindonesia #indonesiaterusmaju… https://t.co/1XVBRMs3mr";0;9;1;9;in;1392911246983241729;1736290012050903536;don_muzakir_;https://twitter.com/don_muzakir_/status/1736290012050903536
Sun Dec 17 07:38:14 +0000 2023;1736289685511839821;"Respon Anies Baswedan soal pernyataan Prabowo 'Ndasmu Etik': Etika itu mulai dari kepala, jika kepala tak punya etik gimana bawahnya  #PrabowoArogan  #PrabowoGibran2024  #aniesbaswedan  #AniesMuhaimin2024  #NdasmuEtik  #Ndasmu  #NdasmuGemoy  #NdasEtik   https://t.co/KAh2icp63u";0;0;0;0;in;155933590;1736289685511839821;gwhaybro;https://twitter.com/gwhaybro/status/1736289685511839821
Sun Dec 17 07:35:39 +0000 2023;1736289033909903677;"Dri kekuatannya,kira2 mn pling kuat Wkkwkw #drawing #AniesMuhaimin2024 #art #PrabowoGibran2024 #ONEPIECE #GanjarMahfud2024 #DebatCapres https://t.co/b4emdVly6R";0;0;0;0;in;763128374;1736289033909903677;hellnara45;https://twitter.com/hellnara45/status/1736289033909903677
Sun Dec 17 07:34:44 +0000 2023;1736288805462896684;"Aamiin ya Allah ya azza wa jalla 🤲  Saya bangga selalu menjadi pendukung setia anda pak @prabowo   Bismillah #PrabowoGibran2024";0;1;0;6;in;2717547397;1736288805462896684;AlmaghribiS;https://twitter.com/AlmaghribiS/status/1736288805462896684
Sun Dec 17 07:31:35 +0000 2023;1736288013414735994;"Menyatukan untuk estafet kepemimpinan 🇲🇨 Presiden NKRI #PrabowoGibran2024 https://t.co/Q1mBk8n2fo";0;0;0;0;in;1622153911753900032;1736288013414735994;hadehate16;https://twitter.com/hadehate16/status/1736288013414735994
