created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 22:31:07 +0000 2023;1739051101541015586;"Selamat Natal untuk teman-teman yang merayakan. Semoga Damai Natal menyertai kita dan Tahun Baru membawa Berkat yang melimpah. Amen! 🙏 #PrabowoGibran2024 #PrabowoGibran";0;0;0;0;in;119378292;1739051101541015586;agwisna;https://twitter.com/agwisna/status/1739051101541015586
Sun Dec 24 22:24:59 +0000 2023;1739049557521285541;"Selamat Natal untuk Kawan-kawan Kristen di  X  Selamat Hari Libur untuk Semua &amp  Selamat Tahun Baru 🫰🏻🫰🏻🫰🏻  #prabowogibran 🫰🏻 satu putaran https://t.co/kc5t3xeSvu";0;0;0;0;in;1205898638871810049;1739049557521285541;cubitisme;https://twitter.com/cubitisme/status/1739049557521285541
Sun Dec 24 22:17:11 +0000 2023;1739047597871140934;"Selamat Natal dan Tahun Baru! Semoga keberkahan menyertai setiap momen kebersamaan kita di akhir tahun ini.  #forgibran #gibran #gibranrakabumingraka #gibrancawapres2024 #cawapres2024 #pilpres2024 #prabowo #prabowogibran #kitasemuaindonesia #kitasemuaprabowo https://t.co/rEkyfRJz3Y";0;0;0;0;in;1726433269225570304;1739047597871140934;dppforgibran;https://twitter.com/dppforgibran/status/1739047597871140934
Sun Dec 24 21:54:45 +0000 2023;1739041951415153103;"Bimbingan Teknis Saksi TPS &amp  Kor RW DPC Partai Gerindra Jakarta Timur di Kecamatan Ciracas bersama bang Ryan Kurnia  #PrabowoGibran #MenangSatuPutaran #HabiburokhmanDPRRI #Gerindra https://t.co/Krb258rfGS";0;0;0;1;in;70412517;1739041951415153103;habiburokhman;https://twitter.com/habiburokhman/status/1739041951415153103
Sun Dec 24 21:36:19 +0000 2023;1739037312045170789;"Capresss ogut nih bos✌️ Senggol dong 🤌🏼  #prabowo #gibran #prabowogibran https://t.co/y3k7yGZi3Q";0;0;1;5;in;1272038588721410048;1739037312045170789;prabowogibran02;https://twitter.com/prabowogibran02/status/1739037312045170789
Sun Dec 24 21:33:19 +0000 2023;1739036557758333072;"Selamat natal untuk umat kristiani semuanya, semoga khidmat dan berkah selalu dalam menjalani setiap ibadahnya 🙏  #prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #natal #nataldantahunbaru2023 https://t.co/qmebp4P555";0;0;1;2;in;1576913175227748352;1739036557758333072;dekade_08;https://twitter.com/dekade_08/status/1739036557758333072
Sun Dec 24 21:32:49 +0000 2023;1739036429634900060;"2024 Nanti Pak @prabowo harus menang ya pak, aku udh ancem suami aku kalo ga mau coblos Pak Prabowo Subianto, aku juga ga mau di coblos!! Gmna joss kan pak 😘  Jangan remehin emak-emak kalau sudah jadi pendukung militan 🤌🏼  #prabowo #jokowi #prabowogibran #gibran #pilpres2024… https://t.co/qYTlNQMewS";0;0;0;4;in;1272038588721410048;1739036429634900060;prabowogibran02;https://twitter.com/prabowogibran02/status/1739036429634900060
Sun Dec 24 21:26:52 +0000 2023;1739034932440416302;"Selamat natal untuk umat kristiani  #prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #natal #nataldantahunbaru2023 https://t.co/2MafWx3itM";0;0;2;4;in;1576913175227748352;1739034932440416302;dekade_08;https://twitter.com/dekade_08/status/1739034932440416302
Sun Dec 24 21:17:12 +0000 2023;1739032501417574571;"Debat Cawapres, Prabowo Beri Gibran Nilai 9,9, Beda Survei Litbang Kompas: Nilai Cak Imin dan Mahfud   https://t.co/AladRJpu1o lewat @tribunnews #debatcawapres #debat #cawapres #pilpres2024 #pilpres #prabowogibran #prabowo #gibran #cakimin #mahfudmd";0;0;0;0;in;103551225;1739032501417574571;tribunkaltim;https://twitter.com/tribunkaltim/status/1739032501417574571
Sun Dec 24 19:41:16 +0000 2023;1739008359939158083;"Simple tapi mengena di hati...   Ucapan hari ibu dan Natal yang diucapkan paslon 2 ini mungkin untuk sebagian besar orang dianggap biasa  Tapi untuk sebagian besar lainnya ini adalah bentuk perhatian dari pemimpin.  Pemimpin untuk semua elemen...   #PrabowoGibran https://t.co/fE3MZHpeIG";0;1;0;3;in;1152447574411902977;1739008359939158083;are_inismyname;https://twitter.com/are_inismyname/status/1739008359939158083
