created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 18 12:32:14 +0000 2023;1736726062363803752;"Bagi Yg Mendukung Pak Anies Dari 2021 Tentu Inget Betul Penjegalan Terus Dilakukan Kubu Yg Tak Ingin Anies Maju Pilpres   Alhamdulillah Kini Anies Baswedan &amp  Muhaimin Iskandar Resmi Capres cawapres 2024   Mari Menangkan !!! https://t.co/MaP3icEko2";0;1;4;5;in;1580531078280146944;1736726062363803752;msw_andi;https://twitter.com/msw_andi/status/1736726062363803752
Mon Dec 18 08:31:00 +0000 2023;1736665353890168894;"#manutkiyai   Dua pengasuh Ponpes Libroyo, KH. Anwar Manshur dan KH Abdullah Kafabihi Mahrus, memberikan doa dan dukungan kepada pasangan Capres-Cawapres nomor urut 1, Anies Baswedan-Muhaimin Iskandar. 💚😊  #aminajadulu https://t.co/XveIFKynjq";0;2;27;37;in;68089986;1736665353890168894;voiceofpkb;https://twitter.com/voiceofpkb/status/1736665353890168894
Mon Dec 18 08:10:28 +0000 2023;1736660187568803925;"Hasil survei 8 lembaga trsbt menunjukkan pasangan capres-cawapres nomor urut 2 Prabowo Subianto&amp Gibran Rakabuming Raka unggul telak atas pasangan capres-cawapres nomor urut 1 Anies Baswedan&amp  Muhaimin Iskandar dan pasangan capres-cawapres nomor urut 3 Ganjar Pranowo dan Mahfud MD.";0;0;1;2;in;1605227532873523200;1736660184779603972;dika_maxelyou;https://twitter.com/dika_maxelyou/status/1736660187568803925
Mon Dec 18 07:20:10 +0000 2023;1736647525648752697;"dibanding pasangan capres-cawapres Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo dan Mahfud MD.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;3678315553;1736647507810415040;sitikomariah032;https://twitter.com/sitikomariah032/status/1736647525648752697
Mon Dec 18 07:20:08 +0000 2023;1736647518304534910;"atas pasangan capres-cawapres nomor urut 1 Anies Baswedan dan Muhaimin Iskandar dan pasangan capres-cawapres nomor urut 3 Ganjar Pranowo dan Mahfud MD.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;3678315553;1736647507810415040;sitikomariah032;https://twitter.com/sitikomariah032/status/1736647518304534910
Mon Dec 18 07:12:42 +0000 2023;1736645647259095510;"Cawapres nomor urut 1 Muhaimin Iskandar mengatakan jika dia dan capres Anies Baswedan memenangi Pilpres 2024, maka setelah dilantik dia akan langsung bekerja memberantas judi dan pinjaman online (pinjol) ilegal.https://t.co/dLAganQp9b";0;0;0;0;in;423220305;1736645647259095510;ANTARABengkulu;https://twitter.com/ANTARABengkulu/status/1736645647259095510
Mon Dec 18 05:46:03 +0000 2023;1736623840938352756;"Pada hari ke-18 kampanye Pemilu 2024, Jumat (15/12/23), capres nomor urut 1 Anies Baswedan diagendakan berkampanye di Bekasi dan Jakarta, sementara cawapres Muhaimin Iskandar atau Cak Imin masih menjalankan ibadah Umrah. https://t.co/n2McgNvap5";0;0;0;0;in;1643890216988712961;1736623840938352756;cnrtoday;https://twitter.com/cnrtoday/status/1736623840938352756
Mon Dec 18 05:39:33 +0000 2023;1736622206640423288;"dibanding pasangan capres-cawapres Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo dan Mahfud MD.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;3671916373;1736622190156816723;AndriK14567;https://twitter.com/AndriK14567/status/1736622206640423288
Mon Dec 18 05:39:32 +0000 2023;1736622200135078083;"atas pasangan capres-cawapres nomor urut 1 Anies Baswedan dan Muhaimin Iskandar dan pasangan capres-cawapres nomor urut 3 Ganjar Pranowo dan Mahfud MD.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;3671916373;1736622190156816723;AndriK14567;https://twitter.com/AndriK14567/status/1736622200135078083
Mon Dec 18 04:27:03 +0000 2023;1736603962361651431;"dibanding pasangan capres-cawapres Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo dan Mahfud MD.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;3655312633;1736603942686261253;manaf_ramli;https://twitter.com/manaf_ramli/status/1736603962361651431
