created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 18 12:51:51 +0000 2023;1736730997075657127;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @dontdieee AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/4c6OrFJSIl https://t.co/UKoBfDsKWP";0;0;0;0;in;1712866990258573312;1736730997075657127;calvinfrmnsyhh;https://twitter.com/calvinfrmnsyhh/status/1736730997075657127
Mon Dec 18 12:50:06 +0000 2023;1736730558334750751;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @DPRryujin AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/YyrhBmpJff https://t.co/21eAiZcI4p";0;0;0;0;in;1712764014856724480;1736730558334750751;rafikaliii;https://twitter.com/rafikaliii/status/1736730558334750751
Mon Dec 18 12:49:26 +0000 2023;1736730388427571276;"@KompasTV Insya Allah pak SBY .... AMiN.  2024 AMIN kan Indonesia. Aamiin ya rabbal 'alamiin";0;0;0;0;in;1690691027970166784;1736580684398150103;afareenqueen;https://twitter.com/afareenqueen/status/1736730388427571276
Mon Dec 18 12:49:13 +0000 2023;1736730333469614081;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @faisaimuut AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/KlshtHddqM https://t.co/fzhyodNXX2";0;0;0;0;in;1711036959110709248;1736730333469614081;nindyseptianni;https://twitter.com/nindyseptianni/status/1736730333469614081
Mon Dec 18 12:49:01 +0000 2023;1736730283284856845;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @fahiraaaa____ AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/gzdLLdpHfy https://t.co/GXCysaihLV";0;0;0;0;in;1712809053842448384;1736730283284856845;Gerimlky;https://twitter.com/Gerimlky/status/1736730283284856845
Mon Dec 18 12:48:12 +0000 2023;1736730081031307727;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @Faizah_alkarim AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/FwCCqQaICu https://t.co/ZbcLVMv9vc";0;0;0;0;in;1712741636726517760;1736730081031307727;Andiniresyyya;https://twitter.com/Andiniresyyya/status/1736730081031307727
Mon Dec 18 12:47:59 +0000 2023;1736730023208653012;"2024 saya ingin  - kerja di perusahaan yang culturenya sesuai harapan gue - ikut marathon 10k - berat badan nambah 10 kg - bisa nabung sampe 2 digit - lebih pinter dan wise dalam menjalani kehidupan ini hehe amin amin";0;0;0;0;in;1125753144686678017;1736730023208653012;juztmingyu97;https://twitter.com/juztmingyu97/status/1736730023208653012
Mon Dec 18 12:46:21 +0000 2023;1736729614742167709;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @Doris01520976 AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/HIxjs2kGvv https://t.co/XDAUJhrzVN";0;0;0;0;in;1710987429463928832;1736729614742167709;Yuni_Ameliax;https://twitter.com/Yuni_Ameliax/status/1736729614742167709
Mon Dec 18 12:46:09 +0000 2023;1736729562464305453;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @Faahraa23 AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/5cZ2rmWJaA https://t.co/yE8vRPHf2n";0;0;0;0;in;1712759682698444800;1736729562464305453;citraaulii;https://twitter.com/citraaulii/status/1736729562464305453
Mon Dec 18 12:45:26 +0000 2023;1736729382478316015;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @doyoungsehun AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/Qa3Mmz1NFI https://t.co/RurccBcMfe";0;0;0;0;in;1712773868199514112;1736729382478316015;PutraBahter;https://twitter.com/PutraBahter/status/1736729382478316015
Mon Dec 18 12:45:14 +0000 2023;1736729334499697026;"@Muslim_AntiPKI9 2024 ASAL BUKAN AMIN";0;0;0;0;in;1240816865938518019;1736446004029964733;Bananabreadcof1;https://twitter.com/Bananabreadcof1/status/1736729334499697026
Mon Dec 18 12:45:00 +0000 2023;1736729272910332037;"Timnas AMIN merespon video Prabowo yang mengatakan ' Etik ndasmu'. Anies Baswedan saat debat pertama capres Pemilu 2024 menyinggung soal etik dalam bernegara, bukan etik secara personal.  CARITAU selengkapnya di: https://t.co/Gu9nvsAsAu  #AniesMuhaimin2024 #prabowo https://t.co/xSMv7zZh78";0;0;0;0;in;1471429821548752898;1736729272910332037;caritaucom;https://twitter.com/caritaucom/status/1736729272910332037
Mon Dec 18 12:43:32 +0000 2023;1736728904315052136;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @fahemiii AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/ZUu41wbKAO https://t.co/1Za0ST1E95";0;0;0;0;in;1712795056367882240;1736728904315052136;Asmorognd;https://twitter.com/Asmorognd/status/1736728904315052136
Mon Dec 18 12:43:31 +0000 2023;1736728899550433313;"Jangan pilih pemimpin psikopat dan pembunuh, yuk lihat rekam jejaknya @fais_ilaa AMIN2024 #Makinjelasmasbowoaja samasul mega miftah Ndasmu banyumas Ponpes Lirboyo Kediri https://t.co/Yb89VkTmim https://t.co/3oVDQGoA68";0;0;0;0;in;1712744675860439040;1736728899550433313;keyshamhranii;https://twitter.com/keyshamhranii/status/1736728899550433313
