created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 14 10:10:09 +0000 2023;1735240752572268721;"Paslon Presiden dan Calon Wakil Presiden (Capres-Cawapres) Anies Rasyid Baswedan-Muhaimin Iskandar (AMIN) mendapatkan nomor urut satu dalam pengundian yang dilakukan di Kantor KPU RI, Menteng, Jakarta Pusat, Selasa (14/11/2023)#PKSAMINuntukIndonesia https://t.co/5r95VmoUsI";0;0;0;0;in;1630771137977131009;1735240752572268721;StRubai;https://twitter.com/StRubai/status/1735240752572268721
Thu Nov 30 05:35:06 +0000 2023;1730098105750876264;"Akan tiba masa bahwa tanda-tanda kemenangan pasangan Capres Cawapres nomor urut 1 AMIN dlm satu putaran. Sekali pun ada kecurangan masif dari Paslon lawan AMIN takkan terbendung. Perkiraan tanda itu akan datang sebulan sebelum Pilpres 14 Februari 2024";0;0;0;1;in;1624759441810927616;1730098105750876264;ReyPanne;https://twitter.com/ReyPanne/status/1730098105750876264
Mon Nov 27 12:25:36 +0000 2023;1729114248897552541;"AMIN=Anies &amp  Muhaimin adalah capres dan cawapres tahun 2024 dengan nomor urut 1 (satu).#sayaAMIN2024";0;0;0;0;in;1639970576206036993;1729114248897552541;AnantaTsalatsa;https://twitter.com/AnantaTsalatsa/status/1729114248897552541
Fri Nov 17 23:43:56 +0000 2023;1725661074979205178;"Pasangan Calon Presiden dan Calon Wakil Presiden (Capres-Cawapres) Anies Rasyid Baswedan-Muhaimin Iskandar (AMIN) mendapatkan nomor urut satu dalam pengundian yang dilakukan di Kantor Komisi Pemilihan Umum (KPU) Republik Indonesia (RI), Menteng,... https://t.co/1RKK95G4tg";0;0;0;0;in;1598400992092950529;1725661074979205178;news_gaspar;https://twitter.com/news_gaspar/status/1725661074979205178
Thu Nov 16 04:26:01 +0000 2023;1725007287209857297;"Pasangan capres cawapres koalisi perubahan AMIN mendapatkan nomor urut 1, Anies Berharap dengan nomor urutan satu juga menjadi kemenangan.. Aamiin 🤲🤲 #AniesHarmonis https://t.co/jWIRWB4tdm";0;0;0;0;in;1693779780959879168;1725007287209857297;Endervate;https://twitter.com/Endervate/status/1725007287209857297
Thu Nov 16 01:59:19 +0000 2023;1724970373010387319;"@BintangRaje @Mayapada0812 Sepakat.. kita tidak perlu tau siapa Tim pemenangan Capres dan Cawapres nomor urut 2 dan 3.. Ayooo Relawan AMIN pokus saja bekerja untuk memenangkan Anies-Muhaimin dalam satu putaran. #AMINIndonesia";0;0;0;1;in;1691006463983190016;1724662831969439745;Pasangkayu85859;https://twitter.com/Pasangkayu85859/status/1724970373010387319
Thu Nov 16 01:46:11 +0000 2023;1724967065843642837;"Pasangan Capres dan Cawapres AMIN, daftar ke KPU nomor 1, Ambil urutan nomor satu, dan dapat nomor urut 1. AMIN optimis InsyaALLAH satu putaran #AMINNomor1Juara1 #AniesMuhaimin2024 Satu Putaran, Berjiwa Pemimpin @cakimiNOW @DPP_PKB https://t.co/1kzTKxPgsA";0;0;1;0;in;1539845168450662400;1724967065843642837;HariasihN;https://twitter.com/HariasihN/status/1724967065843642837
Wed Nov 15 23:33:22 +0000 2023;1724933643209253048;"Setelah proses pengundian nomer urut capres-cawapres selesai, satu-satunya relawan yang gak langsung pulang tapi bersih-bersih sampah ya cuman AMIN  @aniesbaswedan @cakimiNOW ! ￼ AMIN Nomor 1 penjaga bumi, joss nomor satu, satu putaran! #AMINNomor1Juara1 https://t.co/HuxTBVmZmo";0;0;0;1;in;1700534758458245120;1724933643209253048;simatupang31087;https://twitter.com/simatupang31087/status/1724933643209253048
Wed Nov 15 23:21:35 +0000 2023;1724930675739079106;"Pasangan Capres dan Cawapres AMIN, daftar ke KPU nomor 1, Ambil urutan nomor satu, dan dapat nomor urut 1. AMIN optimis InsyaALLAH satu putaran #AMINNomor1Juara1 #AniesMuhaimin2024 Satu Putaran, Berjiwa Pemimpin @cakimiNOW @DPP_PKB https://t.co/cDFXtcHq2m";0;0;1;1;in;732069852739821568;1724930675739079106;gu2n_wbsn;https://twitter.com/gu2n_wbsn/status/1724930675739079106
Wed Nov 15 15:37:21 +0000 2023;1724813848539177438;"@voiceofpkb @aniesbaswedan @cakimiNOW Setelah proses pengundian nomer urut capres-cawapres selesai, satu-satunya relawan yang gak langsung pulang tapi bersih-bersih sampah ya cuman AMIN @aniesbaswedan @cakimiNOW   Lingkungan aja di jaga apalagi kamu, joss nomor satu, satu putaran!";0;0;0;0;in;1599987840707792896;1724752920225439788;RajaOloan82;https://twitter.com/RajaOloan82/status/1724813848539177438
