created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 05:12:02 +0000 2023;1738789609767891170;"@baymaaks Gue jga ga sudi selevel sma lo najis bgt pendukung anis emng ga punya mata dan pikiran cmn banyak omong doang";0;1;0;0;in;1727268569136959488;1738435990094807197;fayspropertyy;https://twitter.com/fayspropertyy/status/1738789609767891170
Sat Dec 23 01:21:58 +0000 2023;1738369323310440734;"@kumparan Klo bukan anak kyai mgkn anda udh sy bully gus. Anda itu bagian dr pemerintah jokowi gus itu artinya anda setuju dgn semua kebijakan jokowi. Skrg anda gabung sm anis anda jadi ikut pinter omong. Pinter omong doang gus.🙏";0;0;0;0;in;1693844095373115392;1736665260956782800;hendra14016;https://twitter.com/hendra14016/status/1738369323310440734
Fri Dec 22 18:22:48 +0000 2023;1738263834614509735;"@adnardn NOOOOO, plis say no to anis!!  banyak omong doang. mon maap saya anti 1. terserah siapa nnti yg jd presiden yg ptg jgn anis plis😭 aku golput";0;0;0;1;in;3015527440;1738191899520033192;tahumangatusan;https://twitter.com/tahumangatusan/status/1738263834614509735
Fri Dec 22 18:12:02 +0000 2023;1738261127447130615;"@aeurorra @sosmedkeras g akan sinkron soalnya pak anis ama mas Gibran g sejalan ya udah cocok ama pak Prabowo, pak anis mah ngomong doang pintar  pak Prabowo g bnyk Omong tpi kerja nyata makanya sepaket ama mas gibran";0;2;0;2;in;1159650321947250688;1738224813423067269;reski_kyy;https://twitter.com/reski_kyy/status/1738261127447130615
Fri Dec 22 17:09:51 +0000 2023;1738245475676139568;"@idextratime Ini omongan imin ya? Ga aneh lah kaya si anis besar omong doang.   Tapi tetep gw lbh benci prabowo ye. Tapi tetep juga gw golput gw coblos semuanya, i'm tired choosing the less evil. Fuvk all of them";0;0;0;0;in;81079030;1738189019090149449;integreet;https://twitter.com/integreet/status/1738245475676139568
Fri Dec 22 15:24:48 +0000 2023;1738219039170945352;"@bybaaah @pilugurimmu @KemenperinRI tp ga nutup mata jg kl anis banyak omong doang kerjanya masih bs dibilang cacat";0;0;0;0;in;1467142581637111810;1738018398343442795;djeonjungkoo;https://twitter.com/djeonjungkoo/status/1738219039170945352
Fri Dec 22 11:43:51 +0000 2023;1738163435471606213;"Retorika kosong Anis Imin, tak ada aksi nyata, cuma omong doang!   #HanyaPintarBeretorika JanjiPalsuApa DiDebatNanti";0;0;0;0;in;1677543159826616321;1738163435471606213;alpinaputrii;https://twitter.com/alpinaputrii/status/1738163435471606213
Fri Dec 22 06:13:59 +0000 2023;1738080424285569306;"@plaiboei @aniesbaswedan @prabowo Anis banyak omong doang";0;0;0;0;in;1525090814443286529;1734642080436109651;poewie03;https://twitter.com/poewie03/status/1738080424285569306
Thu Dec 21 20:08:41 +0000 2023;1737928093774544952;"@DokterTifa Gass prabowo gibran ✌️ Anis baswiri pintar omong doang anggaran gede keluarin nya ga jelas";0;0;0;1;in;1493256338570244099;1737430471209029753;reptor125;https://twitter.com/reptor125/status/1737928093774544952
Thu Dec 21 20:01:13 +0000 2023;1737926216513208437;"@mapedos01 @Official_PAN Gass prabowo ✌️ Anis cuman pinter omong doang.";0;0;0;0;in;1493256338570244099;1737345444907532773;reptor125;https://twitter.com/reptor125/status/1737926216513208437
