created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 14:33:19 +0000 2023;1738930859204645148;"Jogja Desta Hujan paman Gembul Si Gemoy Itu Emosian nyetrika Hilirisasi Luna Abdur #lapakcot  mendung cak imin SGIE Gibran morowali kingdom Bandung #MulutManisAnies somi";0;0;0;0;in;1695395265598115840;1738930859204645148;rare1780915;https://twitter.com/rare1780915/status/1738930859204645148
Sun Dec 24 14:33:10 +0000 2023;1738930824089944453;"@ozarangkuti Nyeplos aja, Cak Imin. Ujung-ujungnya pasti jadi rungkad, gitu loh";0;0;0;0;in;1700988582360760322;1738758280544203038;ImaniHein76938;https://twitter.com/ImaniHein76938/status/1738930824089944453
Sun Dec 24 14:33:01 +0000 2023;1738930786613739937;"Jogja Desta Hujan paman Gembul Si Gemoy Itu Emosian nyetrika Hilirisasi Luna Abdur #lapakcot  mendung cak imin SGIE Gibran morowali kingdom Bandung #MulutManisAnies somi";0;0;0;0;in;1727197328199868416;1738930786613739937;StevenKell56201;https://twitter.com/StevenKell56201/status/1738930786613739937
Sun Dec 24 14:32:56 +0000 2023;1738930764245585997;"@memelord_666666 Kalo cak Imin yang preseden Prabowo wapres nya bisa sih.";0;0;0;0;in;1220354882424778753;1738709090984210760;kitabiasaaaa;https://twitter.com/kitabiasaaaa/status/1738930764245585997
Sun Dec 24 14:32:43 +0000 2023;1738930709077876963;"Jogja Desta Hujan paman Gembul Si Gemoy Itu Emosian nyetrika Hilirisasi Luna Abdur #lapakcot  mendung cak imin SGIE Gibran morowali kingdom Bandung #MulutManisAnies somi";0;0;0;0;in;1727197245312028672;1738930709077876963;JeremiahT14254;https://twitter.com/JeremiahT14254/status/1738930709077876963
Sun Dec 24 14:32:14 +0000 2023;1738930588294517087;"Jogja Desta Hujan paman Gembul Si Gemoy Itu Emosian nyetrika Hilirisasi Luna Abdur #lapakcot  mendung cak imin SGIE Gibran morowali kingdom Bandung #MulutManisAnies somi";0;0;0;0;in;1727197243592282112;1738930588294517087;AshleyCruz91981;https://twitter.com/AshleyCruz91981/status/1738930588294517087
Sun Dec 24 14:32:13 +0000 2023;1738930583856939054;"@ozarangkuti Cak Imin kayak double agent, sengaja jatuhin AMIN dari dalam";0;0;0;0;in;1701752361654366208;1738758280544203038;IndieManza78646;https://twitter.com/IndieManza78646/status/1738930583856939054
Sun Dec 24 14:32:06 +0000 2023;1738930553557274640;"@AiraAfniAmalia @RadioElshinta Yes setuju, saya bukan pendukung Prof.mahfud tp debat kemaren itu beliau lebih menguasai materi...dibanding dengan tong kosong yg nyaring bunyinya itu...Cak Imin juga secara isi ok, tp memang harus banyak perbaikan lagi lah";0;0;0;0;in;1618294701328850945;1738198499764875388;rikamulyasari16;https://twitter.com/rikamulyasari16/status/1738930553557274640
Sun Dec 24 14:31:58 +0000 2023;1738930519268884738;"Gibran Sebut Ekspor Nikel Tembus US$33 Miliar, Cek Faktanya!  Gibran Cak Imin Fuji Abdur Brebes Lembang https://t.co/QHLlaP8ac5";0;0;0;0;in;1344992219652997121;1738930519268884738;RokhanaSti;https://twitter.com/RokhanaSti/status/1738930519268884738
Sun Dec 24 14:31:54 +0000 2023;1738930502529351928;"walaupun cak imin ga sebagus itu tp ya lumayan lah, drpd gibran";0;0;0;0;in;1608298775507861507;1738930502529351928;salwapra;https://twitter.com/salwapra/status/1738930502529351928
