created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 16 10:41:02 +0000 2023;1735973301351248118;"Capres nomor urut 1, Anies Baswedan, berbicara pertama di panggung debat capres. Dia menyatakan banyak aturan ditekuk sesuai kepentingan penguasa. https://t.co/POtEiIyVOs";0;0;0;1;in;768334093000007684;1735973301351248118;mqemutar;https://twitter.com/mqemutar/status/1735973301351248118
Sat Dec 16 10:31:30 +0000 2023;1735970903857467583;"Gus Miftah Ungkap Alasan Prabowo Subianto Tak Serang Balik Anies Baswedan Saat Debat Perdana Capres https://t.co/Q9apXoFak6";0;1;0;0;in;1662344532627976192;1735970903857467583;geloradotnews;https://twitter.com/geloradotnews/status/1735970903857467583
Sat Dec 16 10:10:19 +0000 2023;1735965571253141668;"Video viral di media sosial X menunjukkan calon presiden nomor urut 2 Prabowo Subianto menyebut "ndasmu etik" di hadapan kader Partai Gerindra. Dia diduga menirukan pertanyaan calon presiden nomor urut 1 Anies Baswedan soal etik dalam debat capres perdana Selasa (12/12/2023). https://t.co/KcSrVqh7ph";0;0;0;0;in;1630082867182321664;1735965571253141668;NewsDinda;https://twitter.com/NewsDinda/status/1735965571253141668
Sat Dec 16 09:58:07 +0000 2023;1735962499395285382;"Ketua Umum Partai Solidaritas Indonesia (PSI) Kaesang Pangarep mengomentari penampilan tiga capres, Anies Baswedan, Prabowo Subianto, dan Ganjar Pranowo, saat debat perdana. Dia mengaku bingung dengan posisi Ganjar. https://t.co/eG9PGytO0L";0;0;0;0;in;1289854699089272833;1735962499395285382;Sumbarkita_id;https://twitter.com/Sumbarkita_id/status/1735962499395285382
Sat Dec 16 09:44:27 +0000 2023;1735959063144665302;"Gurau Anies Baswedan soal Debat Capres Perdana: Untung Tidak Ada Meja  Ndasmu 😂😂  https://t.co/KkeWmbwyZ5";0;0;1;1;in;1370604191052263427;1735959063144665302;selow_mas;https://twitter.com/selow_mas/status/1735959063144665302
Sat Dec 16 09:33:07 +0000 2023;1735956209340166627;"Calon Presiden (Capres) RI nomor urut 1 Anies Baswedan sampai saat ini belum ada rencana dari untuk mengunjungi Ibu Kota Nusantara (IKN). https://t.co/2Qsy1MJhMf";0;0;0;0;in;1666299675329298433;1735956209340166627;erakinimedia;https://twitter.com/erakinimedia/status/1735956209340166627
Sat Dec 16 09:29:02 +0000 2023;1735955180527726728;"Capres Anies Baswedan mendengarkan keluhan pedagang pasar yang terjerat rentenir. Ini solusi tepat dari @aniesbaswedan untuk permasalahan tersebut.  Emang the best capres pilihanku!  @tijabar @AnKiiim_ @MuhiqR @marlina_idha @infearnos @SuherjatiSuher1 @LANGKAHANIES @sutanmangara https://t.co/NLES9ntU1w";0;0;0;2;in;880308385261826048;1735955180527726728;kemalpaleviik;https://twitter.com/kemalpaleviik/status/1735955180527726728
Sat Dec 16 09:15:12 +0000 2023;1735951701679698169;"Prabowo Subianto belum bisa melupakan pertanyaan Anies Baswedan pada debat perdana capres. Sampai-sampai cawapres nomor urut 2 itu menyinggung kembali Anies dalam Rakornas Partai Gerindra.  https://t.co/NiiCHEcmE8";0;0;0;0;in;1698580133068865536;1735951701679698169;heralddotID;https://twitter.com/heralddotID/status/1735951701679698169
Sat Dec 16 08:44:35 +0000 2023;1735943995489136641;"Tim Nasional (Timnas) Pemenangan Anies Baswedan-Muhaimin Iskandar (Amin) menilai, Calon Presiden (Capres) Nomor Urut 1 Anies Baswedan mampu menguasai seluruh materi dan topik pada debat pertama Pilpres 2024.  Selengkapnya https://t.co/3aicRozytO";0;0;0;0;in;1169861863426818048;1735943995489136641;theiconomic;https://twitter.com/theiconomic/status/1735943995489136641
Sat Dec 16 08:35:28 +0000 2023;1735941703440437405;"Ya Allah aku hanya ingin dan berharap Pak Anies Baswedan jadi Capres. Semakin hari semakin sangat tidak menyukai sikap Capres lainnya dan antek2 di belakang mereka 🥺😭";0;0;0;0;in;1602663045913710597;1735941703440437405;yulshayulk;https://twitter.com/yulshayulk/status/1735941703440437405
Sat Dec 16 08:03:06 +0000 2023;1735933555333824850;"Majelis Syarif Hidayatullah (MSH) tetap mendukung calon presiden (capres) Anies Baswedan dalam Pemilu Presiden (Pilpres) 2024, meskipun yang bersangku... https://t.co/iHlvGJ44pX";0;0;0;1;in;46693036;1735933555333824850;inilahdotcom;https://twitter.com/inilahdotcom/status/1735933555333824850
