created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 16 14:00:20 +0000 2023;1736023457606123973;"Cerdas...visi misi sang suami dalam debat realistis..!    Istri Capres Ganjar Pranowo, Atiqoh Supriyanti bangga terhadap sang suami dengan gagasan, terutama masalah penanggulangan kemiskinan "PENDIDIKAN ADALAH KOENTJI UTAMA"   #GanjarMahfud2024 https://t.co/w8aRmrTo3g";0;0;1;1;in;1159475566069731331;1736023457606123973;BiLLRaY2019;https://twitter.com/BiLLRaY2019/status/1736023457606123973
Sat Dec 16 14:00:02 +0000 2023;1736023379600441522;"Calon Presiden (Capres) Nomor Urut 3, Ganjar Pranowo mengaku pihaknya akan mengambil langkah pelaporan atas hilangnya puluhan baliho atau alat peraga kampanye (APK) di Banten pada Rabu (13/12/2023). MYF  #GanjarMahfud2024 #Mahfud #Ganjar #Pilpres2024 #GanjarMahfudLanjutkanIKN https://t.co/M4mQfmAxvi";0;0;0;0;in;132078023;1736023379600441522;officialinews_;https://twitter.com/officialinews_/status/1736023379600441522
Sat Dec 16 13:59:52 +0000 2023;1736023338852749619;"Dukungan untuk pasangan capres cawapres nomor urut 3, Ganjar-Mahfud, datang dari sejumlah warga RW 7, Kelurahan Sumber, Solo, Jawa Tengah. Para relawan yang rata-rata terdiri atas ibu-ibu itu tergabung dalam Relawan Anjani, notabene merupakan tetangga dari cawapres nomor urut 2,… https://t.co/wak0odKVHF";0;0;0;4;in;821859629034409985;1736023338852749619;KakekHalal;https://twitter.com/KakekHalal/status/1736023338852749619
Sat Dec 16 13:58:46 +0000 2023;1736023063114973476;"@deddysitorus Seriusan nanya..   Tim kampanyenya ganjar kapan sih promosiin program kerja, promosiin prestasi ganjar, penyelarasan visi misi?   Perasaan julid mulu kerjaannya..   Ini tim kampanye capres apa tim kampanye ibu2 Komplek?";0;0;0;0;in;1035535952788115456;1735643041497829862;Ketctard;https://twitter.com/Ketctard/status/1736023063114973476
Sat Dec 16 13:58:26 +0000 2023;1736022978331332692;"@Andria75777 daripada ganjar, hobi nonton film bokep .. . . masa capres sukanya nonton film bokep sih ... . . bisa rusak negara visa rusak generasi masa depan bangsa . . parah nih ganjar ... paraaahh .. . . . . . . . .";0;0;0;0;in;1692932182418001920;1735957498270740589;Samudra_Biru90;https://twitter.com/Samudra_Biru90/status/1736022978331332692
Sat Dec 16 13:58:22 +0000 2023;1736022961575051329;"daripada ganjar, hobi nonton film bokep .. . . masa capres sukanya nonton film bokep sih ... . . bisa rusak negara visa rusak generasi masa depan bangsa . . parah nih ganjar ... paraaahh .. . . . . . . . .";0;0;0;0;in;1692932182418001920;1736022961575051329;Samudra_Biru90;https://twitter.com/Samudra_Biru90/status/1736022961575051329
Sat Dec 16 13:58:04 +0000 2023;1736022885100327241;"@eddy_widodo_165 @bawaslu_RI @Puspen_TNI Ngawur, capres yg sdh ditetapkan KPU itu berhak dapat pengawalan negara , ganjar, anies dan semua cawapres nya jg dapat,  ga usah ngehoax.";0;0;0;0;in;754047303787229184;1736004956795318539;ganafmargi;https://twitter.com/ganafmargi/status/1736022885100327241
Sat Dec 16 13:56:39 +0000 2023;1736022531507724604;"Ganjar menjawab tudingan prabowo bhw pertanyaannya dinilai tendensius oleh prabowo dlm debat capres. Ganjar : Kalau tidak dibereskan persoalan ini akan muncul terus, sini kasih saya biar saya yg selesaikan. Tegas.... pic. XHxz6a9aI6 Ganjarbersih kuatkanKPK #GanjarPranowo";0;0;0;0;in;1446679807962456065;1736022531507724604;Chandan58432618;https://twitter.com/Chandan58432618/status/1736022531507724604
Sat Dec 16 13:53:50 +0000 2023;1736021822754443609;"@AlmaghribiS Kubu capres dinasti politik keluarga pada takut sama AMIN, semoga nanti Ganjar nanya proposal perdamaian Ukraina";0;0;0;0;in;2611665710;1735902812989780253;pettasewa1;https://twitter.com/pettasewa1/status/1736021822754443609
Sat Dec 16 13:53:46 +0000 2023;1736021803749761225;"Paslon Nomor 3 Capres Ganjar Pranowo, pemimpin yang mampu mewujudkan Indonesia yang adil dan sejahtera bagi seluruh rakyatnya.# Ganjarbersih KuatkanKPK #GanjarSikatKorupsi Hebat PilihanUmat pic. bxXsudr8KD Ganjarbersih kuatkanKPK #GanjarPranowo";0;0;0;0;in;1284469454038896640;1736021803749761225;adik_ugalmugale;https://twitter.com/adik_ugalmugale/status/1736021803749761225
Sat Dec 16 13:53:45 +0000 2023;1736021798708298155;"Paslon Nomor 3 Capres Ganjar Pranowo, pemimpin yang mampu mewujudkan Indonesia yang adil dan sejahtera bagi seluruh rakyatnya.# Ganjarbersih KuatkanKPK #GanjarSikatKorupsi Hebat PilihanUmat pic. bxXsudr8KD Ganjarbersih kuatkanKPK #GanjarPranowo";0;0;0;0;in;4848404830;1736021798708298155;3dc367871e37455;https://twitter.com/3dc367871e37455/status/1736021798708298155
Sat Dec 16 13:51:37 +0000 2023;1736021262143725632;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif utk kesejahteraan para guru madrasah dan marbot masjid.  Hal itu disampaikan saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis utk menghadiri deklarasi Ulama… https://t.co/abeRExJ8bX";0;0;1;3;in;4200694752;1736021262143725632;Ari3Pras;https://twitter.com/Ari3Pras/status/1736021262143725632
Sat Dec 16 13:50:44 +0000 2023;1736021039111676173;"BSGP Kalbar siap memenangkan pasangan Capres-Cawapres Ganjar Pranowo-Mahfud MD pada Pilpres 2024.  #GanjarMahfud2024 #GanjarMahfudM3nang #GanjarMahfudSatset https://t.co/CdQhDm488e";0;0;0;0;in;1402416424484675585;1736021039111676173;bergema2024;https://twitter.com/bergema2024/status/1736021039111676173
