created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 14 15:30:25 +0000 2023;1735321350733218137;"Debat bukan ajang bapak-bapak arisan yang setuju aja terus. Prabowo, mungkin lebih cocok jadi moderator bazar ketimbang debater capres. @libriani329321 Anies MasBowoGibran GakRetorika Bodohnya PakBowoIkut MaunyaKita #PrabowoPalingTulus https://t.co/5wdeLV291U https://t.co/yz2rzL9HfJ";0;0;0;0;in;1713580958316900352;1735321350733218137;maharaniidew;https://twitter.com/maharaniidew/status/1735321350733218137
Thu Dec 14 15:27:44 +0000 2023;1735320675206803691;"@masOtrah @mardigu024 Iya, kelihatan sekali kelemahan @Prabowo. Beliau gak mampu mambantah hal2 baik yg dikatakan capres lain. Kalo benar langsung aja setuju. Minimal gocek kiri kana dulu lah. Kalo perlu pakai jurus angin ribut atau apalah gitu. Kan gak seru jadinya. 😜😜😜";0;0;0;0;in;795298259451445249;1735146480263168254;satrio_tone;https://twitter.com/satrio_tone/status/1735320675206803691
Thu Dec 14 15:27:21 +0000 2023;1735320577731350982;"@99propaganda @aniesbaswedan @prabowo Buka aja ntar debat capres ke 2...";0;0;0;0;in;82685637;1735156547586801878;rc_dadax;https://twitter.com/rc_dadax/status/1735320577731350982
Thu Dec 14 15:24:33 +0000 2023;1735319874430550403;"@irwanka5 Sy gk suka anis karna politik identitasnya Sy gk suka prabowo karna di gerindra ada fadli zon Sy gk suka ganjar karna pdip biar pun wapresnya idola saya Tapi sbagai warga negara yg baik saya harus memilih capres yg trbaik diantara yg terburuk. Dan pilihan saya jatuh ke prabowo.";0;0;0;0;in;1326276450274607104;1735120938667253925;Anaklan33234254;https://twitter.com/Anaklan33234254/status/1735319874430550403
Thu Dec 14 15:24:09 +0000 2023;1735319773888782553;"@benings_tj Bisa jadi 😂  Atau, yg briefing Prabowo yg emang niat nyerang Ganjar dan Anies dengan hal yg dianggap sebagai PR para capres itu yg belum tuntas.";0;0;0;0;in;1336862676983562240;1735318252962939174;GaTypoLagi;https://twitter.com/GaTypoLagi/status/1735319773888782553
Thu Dec 14 15:23:13 +0000 2023;1735319539712471401;"@PartaiSocmed @aniesbaswedan @prabowo Jangan pilih capres jomlo tua hobi kalah jejak digital nya ngeri https://t.co/rNNl6AqCzB";0;0;0;0;in;1545240731547496448;1735216864152981540;AndiGun10253066;https://twitter.com/AndiGun10253066/status/1735319539712471401
Thu Dec 14 15:23:10 +0000 2023;1735319527125336156;"@yusufagro @aniesbaswedan @AgusYudhoyono @alextham878 @AlmaghribiS @andre_rosiade @BANGSAygSUJUD @G0mb4k @Kimberley_2024 @Chaves1305 @askencana @Gerindra Besok2 kasih tau prabowo jangan ikut debat capres lagi,,, bikin malu aja";0;0;0;0;in;2714662532;1735064035803213908;b4ce6d77c34e41e;https://twitter.com/b4ce6d77c34e41e/status/1735319527125336156
Thu Dec 14 15:22:54 +0000 2023;1735319457646674304;"Anies Baswedan dinilai mendominasi debat pertama Capres Pilpres 2024. Kepiawaian retorika Anies disebut lebih unggul dari Prabowo Subianto dan Ganjar Pranowo  https://t.co/0TB14IW9Dd";0;0;0;0;in;1661642617552261120;1735319457646674304;kangtrivia;https://twitter.com/kangtrivia/status/1735319457646674304
Thu Dec 14 15:22:35 +0000 2023;1735319379230027816;"@kurawa hasil survey beberapa bulan terkahir paslon 02 angkanya berkisar 40-45%.  Untuk menang 1 putaran apakah syaratnya cuma 50+1?? Pilpres akan berlangsung 2 putaran, saya yakin paslon 01 atau 03 yang menang, dan @prabowo tetap jadi Capres ABADI. 🤓";0;0;0;1;in;1603894422751494144;1735275092400300214;17begeng;https://twitter.com/17begeng/status/1735319379230027816
Thu Dec 14 15:22:29 +0000 2023;1735319353942503753;"@PartaiSocmed @aniesbaswedan @prabowo Jangan piliih yohanis";0;0;0;0;in;4066585873;1735216864152981540;iya123456743;https://twitter.com/iya123456743/status/1735319353942503753
Thu Dec 14 15:21:49 +0000 2023;1735319187747422562;"@Ndhaaa_3 Nih denger nih. Anies manusia merdeka, bukan budaknya Prabowo.  Dia gak haus kekuasaan, tp komitmen dan amanat sm Sumpah Jabatannya utk 5 tahun pimpin Jakarta.  Diajak jadi Cawapresnya Prabowo dia Gak mau. Diajak sm 3 partai untuk jadi Capres juga dia gk mau.  Mau fitnah apalagi? https://t.co/vDGSDaTNiG";0;0;0;0;in;1247887947602341891;1735308639387390161;Ichsaaannnnn;https://twitter.com/Ichsaaannnnn/status/1735319187747422562
Thu Dec 14 15:21:42 +0000 2023;1735319157431038247;"Jawa Timur memilih untuk melangkah maju dengan Ganjar - Mahfud sebagai pilihan capres dan cawapres, bukan Prabowo Gibran @keepcipritttt  https://t.co/MUrWvPNqZ7";0;0;0;0;in;1685848801402294273;1735319157431038247;ratumhrni2_;https://twitter.com/ratumhrni2_/status/1735319157431038247
Thu Dec 14 15:21:35 +0000 2023;1735319128037359917;"@PutraFajar95238 @G0mb4k @prabowo @99propaganda @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @Ndons_Back @bengkeldodo @Alexemeru @Chaves1305 @yusufagro Pengkhianat rakyat? Ya elah... Ngapain Prabowo capek" jadi bapak asuh untuk ribuan orang dan memberikan beasiswa untuk ribuan orang, jika hny sekedar retorika atas nama rakyat.  Capres Lo utang saja kudu diikhlaskan.. Hahahaha";0;1;0;0;in;2717547397;1735293189274349842;AlmaghribiS;https://twitter.com/AlmaghribiS/status/1735319128037359917
Thu Dec 14 15:21:30 +0000 2023;1735319105669075216;"@Uki23 Jokowi memang bukan Prabowo &amp  Gibran jelas bukan Jokowi...pasti akan sangat sulit mencoba menunjukkan keduanya sekelas Jokowi...lihat performa memalukan Prabowo di Debat Capres ke-1...hehehe...kita juga bisa siap ngakak membayangkan Gibran di Debat Cawapres ke-1 nanti... ☕️🤭📱";0;0;0;0;in;131439573;1735179645786734593;Adhi_Faiz;https://twitter.com/Adhi_Faiz/status/1735319105669075216
Thu Dec 14 15:21:07 +0000 2023;1735319011217526844;"Kata Penutup Paling Apik Dari Pak Prabowo Dalam Debat Capres https://t.co/qkvQql0VPZ";0;0;0;0;in;1271444046435631104;1735319011217526844;AbahRidwanRT;https://twitter.com/AbahRidwanRT/status/1735319011217526844
Thu Dec 14 15:19:59 +0000 2023;1735318725887500614;"@aniesbaswedan itu memang bukan Capres yg sempurna. Begitu juga dengan @prabowo dan @ganjarpranowo . Tapi klu boleh jujur, harapan terbesar agar dapat  terwujudnya cita-cita Kemerdekaan yg sdh di impiimpikan sejak 78 thn yg lalu, itu ada pada sosok Anies Baswedan. 🙏🙏🙏";0;0;0;0;in;1143384227418791936;1735318725887500614;TanoMaskhe;https://twitter.com/TanoMaskhe/status/1735318725887500614
Thu Dec 14 15:19:54 +0000 2023;1735318703443767501;"@NyaiiBubu @PartaiSocmed @aniesbaswedan @prabowo Ciee malu ya punya capres kayak gitu";0;0;0;1;in;1647796439408607232;1735216864152981540;AlamsahLudi;https://twitter.com/AlamsahLudi/status/1735318703443767501
Thu Dec 14 15:18:47 +0000 2023;1735318422660288662;"@Heraloebss @Gerindra @prabowo Gak gitu juga Blok cara berpikirnya.. didalam debat/ permainan wajar lah serang lawan. Lain halnya diluar debat capres.";0;0;0;0;in;1249973860675358720;1735151835491819847;DataPrint9;https://twitter.com/DataPrint9/status/1735318422660288662
Thu Dec 14 15:18:06 +0000 2023;1735318252962939174;"Ada lagi hal menarik di debat capres semalam.  Padahal tema yg di ajukan KPU kan seputar hukum, HAM, dsb.  Tapi di sesi kedua pertanyaan Prabowo sama sekali ga nyambung  dengan tema.  Ke Ganjar, Prabowo tanya tentang pengangguran  Ke Anies, Prabowo tanya tentang Polusi.  Aneh..";0;1;0;4;in;1336862676983562240;1735318252962939174;GaTypoLagi;https://twitter.com/GaTypoLagi/status/1735318252962939174
Thu Dec 14 15:17:29 +0000 2023;1735318095647092913;".@kpu_id menegur calon Wakil Presiden nomor urut 2, @gibran_tweet lantaran menunjukkan gerakan isyarat atau gestur bersorak saat debat perdana Capres 2024 di gedung KPU Selasa lalu.  Download #metrotvxtend di app store &amp  play store  #gibranrakabumingraka #prabowo #debatcapres… https://t.co/i68r5Cv78Y";1;6;2;7;in;57261519;1735318095647092913;Metro_TV;https://twitter.com/Metro_TV/status/1735318095647092913
Thu Dec 14 15:15:49 +0000 2023;1735317679085658245;"@ZulkifliLubis69 @prabowo @gibran_tweet @aniesbaswedan Apa layak seorang capres mempertontonkan arogan dan emosional saat rakyat menilai siapa yg akan jadi presiden... 😁😁";0;0;0;0;in;1323635036701159425;1735163440367575314;Gina53855494;https://twitter.com/Gina53855494/status/1735317679085658245
Thu Dec 14 15:15:32 +0000 2023;1735317604754153558;"@andre_rosiade goblok, beda waktu beda jabatan dan kepentingan, Anies jaman DKI vs Prabowo capres 2024";0;0;0;0;in;939075072257433600;1735204525517177333;siaga_revolusi;https://twitter.com/siaga_revolusi/status/1735317604754153558
