created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 14 15:34:01 +0000 2023;1735322257365540978;"Saat Gibran jadi cawapres melalui jalur MK, sepertinya lari-lariannya tidak cukup untuk meyakinkan rakyat Jawa Timur @partofaries  https://t.co/MwUfLYcVN1";0;0;0;0;in;1683552496365764609;1735322257365540978;azrabahiah_;https://twitter.com/azrabahiah_/status/1735322257365540978
Thu Dec 14 15:32:34 +0000 2023;1735321894134649342;"Gibran jadi cawapres jalur MK, seolah-olah lomba lari ini adalah peluang bagi mereka yang ingin mencapai puncak tanpa melalui proses yang matang @pangetsu3  https://t.co/KslktLVGMH";0;0;0;0;in;1684467422764703744;1735321894134649342;eowyneverl55378;https://twitter.com/eowyneverl55378/status/1735321894134649342
Thu Dec 14 15:31:44 +0000 2023;1735321682448167117;"@tualang @Dennysiregar7 Terjun Jokowi sdh terlalu jauh setelah lolos Gibran sbg cawapres, dan untuk hal ini klu terjadi gejolak, sdh gk ada yg mau menolong jokowi, sekalipun paslon 02 memenangkan pertarungan pilpres, justru ini yg akan jadi prahara/kegaduhan bisa jadi keputusan MKMK di guhat lagi";0;0;0;0;in;1299892382335344641;1735151767955058885;MardiSiswoyo15;https://twitter.com/MardiSiswoyo15/status/1735321682448167117
Thu Dec 14 15:29:14 +0000 2023;1735321053424169175;"@Gus_Raharjo Gibran saat ini belum layak jadi cawapres, mesti banyak belajar dl lah ya, mungkin niat pengen berkuasa jadi semua bisa diatur";0;0;0;1;in;1701777354430033920;1735236294970843415;virus32858;https://twitter.com/virus32858/status/1735321053424169175
Thu Dec 14 15:28:38 +0000 2023;1735320902265692300;"Sikap Gibran yang terlihat ingin memaksa diri menjadi cawapres melalui MK justru semakin memperkuat pandangan negatif dari rakyat Jawa Timur @loeyloeyaj  https://t.co/TutIvm2Xwo";0;0;0;0;in;1684842752302108672;1735320902265692300;nikislmmm;https://twitter.com/nikislmmm/status/1735320902265692300
Thu Dec 14 15:28:38 +0000 2023;1735320901304864833;"@pro_gibran_ Mas gibran anak presiden dan cawapres yg paling merakyat banget";0;0;0;0;in;789362911143530496;1734897298734530647;lalaluluuu98;https://twitter.com/lalaluluuu98/status/1735320901304864833
Thu Dec 14 15:27:47 +0000 2023;1735320689601917109;"Rakyat Jawa Timur menolak pencalonan Gibran sebagai cawapres, seolah-olah mereka sudah memenangkan lomba lari untuk menolak pilihan yang kurang matang @paket_nasipanas  https://t.co/xywKBGGFyc";0;0;0;0;in;1684065220518633472;1735320689601917109;ArraSafitr59;https://twitter.com/ArraSafitr59/status/1735320689601917109
Thu Dec 14 15:27:44 +0000 2023;1735320674707927456;"GIBRAN KOMPOR! PERTAMA KALI DALAM SEJARAH, KPU TEGUR CAWAPRES! BELUM TAMPIL DEBAT SUDAH TERCELA https://t.co/NCap8y3w7r";0;0;0;2;in;1722014606712094720;1735320674707927456;herculep638;https://twitter.com/herculep638/status/1735320674707927456
Thu Dec 14 15:27:13 +0000 2023;1735320547511390368;"Langkah politik Gibran sebagai cawapres jalur MK dianggap tidak sepenuhnya mengindahkan kebutuhan dan keinginan rakyat Jawa Timur @lossinaja  https://t.co/1r1VOONDKJ";0;0;0;0;in;1686584268607401984;1735320547511390368;ardinaurelly;https://twitter.com/ardinaurelly/status/1735320547511390368
Thu Dec 14 15:27:11 +0000 2023;1735320536786632846;"Kalau Gibran menang di lomba lari, belum tentu dia bisa menang di hati rakyat Jawa Timur yang menolaknya jadi cawapres @Rafliswara  https://t.co/YQ8cibEn3H";0;0;0;0;in;1684090346870030338;1735320536786632846;nabilainta66512;https://twitter.com/nabilainta66512/status/1735320536786632846
