created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 16 14:01:03 +0000 2023;1736023638070161636;"@ekowboy2 Realitis aja, apakah pa mahfud md yg memenangkan debat cawapres ?";0;0;0;0;in;2212009039;1735992219822395569;SYogi2_;https://twitter.com/SYogi2_/status/1736023638070161636
Sat Dec 16 13:59:52 +0000 2023;1736023338852749619;"Dukungan untuk pasangan capres cawapres nomor urut 3, Ganjar-Mahfud, datang dari sejumlah warga RW 7, Kelurahan Sumber, Solo, Jawa Tengah. Para relawan yang rata-rata terdiri atas ibu-ibu itu tergabung dalam Relawan Anjani, notabene merupakan tetangga dari cawapres nomor urut 2,… https://t.co/wak0odKVHF";0;0;1;9;in;821859629034409985;1736023338852749619;KakekHalal;https://twitter.com/KakekHalal/status/1736023338852749619
Sat Dec 16 13:52:45 +0000 2023;1736021547985633644;"@ZulkifliLubis69 Sprtinya aku terlalu bodoh untuk memahami cawapres yg intelektual nya melebihi mahfud md 😂😂";0;0;0;0;in;1399398720848891905;1735875652082094392;Matanepicek5;https://twitter.com/Matanepicek5/status/1736021547985633644
Sat Dec 16 13:51:37 +0000 2023;1736021262143725632;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif utk kesejahteraan para guru madrasah dan marbot masjid.  Hal itu disampaikan saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis utk menghadiri deklarasi Ulama… https://t.co/abeRExJ8bX";0;0;1;3;in;4200694752;1736021262143725632;Ari3Pras;https://twitter.com/Ari3Pras/status/1736021262143725632
Sat Dec 16 13:50:44 +0000 2023;1736021039111676173;"BSGP Kalbar siap memenangkan pasangan Capres-Cawapres Ganjar Pranowo-Mahfud MD pada Pilpres 2024.  #GanjarMahfud2024 #GanjarMahfudM3nang #GanjarMahfudSatset https://t.co/CdQhDm488e";0;0;0;0;in;1402416424484675585;1736021039111676173;bergema2024;https://twitter.com/bergema2024/status/1736021039111676173
Sat Dec 16 13:34:41 +0000 2023;1736017000252764167;"@Paltiwest Standar mereka hy untk mengambil Suara Pendukung Jokowi, Pendukung Jokowi MAYORITAS pendukung PDI Perjuangan, diluar suara PDI P, sbagian besar lainnya skrg mendukung Ganjar Mahfud. Dan dlm hal Komunikasi Politik n Wawasan Kebangsaan, Cawapres 02 jauh dibawah 4 Anak Muda ini. https://t.co/XXpq96UFch";0;0;0;2;in;1594524306372894720;1735965175403168095;BieMaPutra09;https://twitter.com/BieMaPutra09/status/1736017000252764167
Sat Dec 16 13:32:32 +0000 2023;1736016459145609588;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis.  #SahabatGanjar #GanjarMahfud2024 https://t.co/3rT4tZUKGW";0;0;0;0;in;1214218873651650561;1736016459145609588;Chintya___99;https://twitter.com/Chintya___99/status/1736016459145609588
Sat Dec 16 13:31:41 +0000 2023;1736016245357527551;"PartaiSocmed Tum 2022 emg ganjar dan mahfud udah jadi capres dan cawapres? Ganjarbersih kuatkanKPK #GanjarPranowo";0;0;0;0;in;1437784554773913602;1736016245357527551;DrVijaykumarGh3;https://twitter.com/DrVijaykumarGh3/status/1736016245357527551
Sat Dec 16 13:28:06 +0000 2023;1736015346648396086;"@NUgarislucu Actually no one,krn kerjaan WaPres minimalis,lbh bnyk sbg back up https://t.co/NMqZN60s1O klo diberi kewenangan,absolutely Mahfud MD.klo Cak Imin gw harap lbh kyk JK waktu sm SBY,krn scr positioning dia jg kuat (bw partai).dah itu opini gw dr 2 cawapres.. Eh msh ada 1 lg ya,skip";0;0;0;0;in;1538487996730597376;1735952684405108985;HariTriHandoyo;https://twitter.com/HariTriHandoyo/status/1736015346648396086
Sat Dec 16 13:23:35 +0000 2023;1736014209580949664;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres nomor urut tiga Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis untuk menghadiri… https://t.co/eX4V4k89By";0;0;0;0;in;1386914402234888192;1736014209580949664;sagaislami;https://twitter.com/sagaislami/status/1736014209580949664
Sat Dec 16 13:23:21 +0000 2023;1736014149316936078;""...negeri ini seperti Capres Ganjar Pranowo dan Cawapres Mahfud MD. Ganjarbersih kuatkanKPK #GanjarPranowo";0;0;0;0;in;1307572222278598656;1736014149316936078;UmeshSo07996764;https://twitter.com/UmeshSo07996764/status/1736014149316936078
Sat Dec 16 13:20:46 +0000 2023;1736013498503905299;"Cawapres Gibran: Saya siap untuk debat dgn Cak Imin dan Mahfud MD akan digelar Jumat depan (22/12/2023). Gibran: Ya, siap ya, dah makasih. https://t.co/tZCeXWaKYe @Ganjar_Mahfud_3 @AB5589RB @mas_alku @joko_maryadi @DjogdjaKembali @YoYoAyo17845 @bengkeldodo @Irwan2yah1 @ignust62";0;3;0;3;in;1013331201396912128;1736013498503905299;cagubnyinyir2;https://twitter.com/cagubnyinyir2/status/1736013498503905299
Sat Dec 16 13:09:01 +0000 2023;1736010541745721358;""...negeri ini seperti Capres Ganjar Pranowo dan Cawapres Mahfud MD. Ganjarbersih kuatkanKPK #GanjarPranowo";0;0;0;0;in;1725381530120245248;1736010541745721358;Danveer75323443;https://twitter.com/Danveer75323443/status/1736010541745721358
Sat Dec 16 13:06:19 +0000 2023;1736009863707414904;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis   #SahabatGanjar #GanjarMahfud2024 https://t.co/DHIvnadRnr";0;1;1;2;in;1366400355366432768;1736009863707414904;awan_mer4h;https://twitter.com/awan_mer4h/status/1736009863707414904
Sat Dec 16 12:51:30 +0000 2023;1736006136313291241;"@NUgarislucu Gibran lebih sat set dalam mengatasi berbagai persoalan... Kalau Mahfud MD tidak pantas jadi cawapres, karena pantasnya jadi capres.";0;0;0;0;in;1712476283379290112;1735952684405108985;zenni_gonzales;https://twitter.com/zenni_gonzales/status/1736006136313291241
Sat Dec 16 12:42:35 +0000 2023;1736003890020229561;"Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud MD menilai pencopotan 70 baliho pasangan calon presiden (capres)-calon wakil presiden (cawapres) G... https://t.co/KOuE53mYuc";0;0;0;0;in;46693036;1736003890020229561;inilahdotcom;https://twitter.com/inilahdotcom/status/1736003890020229561
Sat Dec 16 12:42:05 +0000 2023;1736003766376358081;"@NUgarislucu yang berpengalaman dan berintegritas cuma pao Mahfud untuk menjadi Cawapres gaperlu diragukan lagi kinerjanya Prof Mahfud MD";0;0;0;0;in;1495358665318371333;1735952684405108985;cocomix_z;https://twitter.com/cocomix_z/status/1736003766376358081
Sat Dec 16 12:41:45 +0000 2023;1736003679843733819;"Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis untuk menghadiri deklarasi Ulama Barisan Lauhul Mahfud Se-Priangan, Jumat (15/12/23).";0;0;0;0;in;1383307094879727621;1736003677113209040;giacan_;https://twitter.com/giacan_/status/1736003679843733819
Sat Dec 16 12:41:44 +0000 2023;1736003677113209040;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  #SahabatGanjar  #GanjarMahfud2024  Onic || Aceh || Malmingan https://t.co/ifCFjmWTTn";0;1;1;1;in;1383307094879727621;1736003677113209040;giacan_;https://twitter.com/giacan_/status/1736003677113209040
Sat Dec 16 12:36:41 +0000 2023;1736002404204863973;"@antaranews Capres dan Cawapres yang mendukung persatuan dan keadilan, seperti Ganjar dan Mahfud, adalah harapan bangsa.";0;0;0;0;in;1421529990382845956;1735898572712001877;MonikaLemahimun;https://twitter.com/MonikaLemahimun/status/1736002404204863973
Sat Dec 16 12:35:21 +0000 2023;1736002069503541587;"@ekokuntadhi1 Capres yang tulus, Cawapres yang bijaksana—Ganjar dan Mahfud adalah impian bangsa.";0;0;0;0;in;1709022677682507776;1735960047086346240;N89597804Nami;https://twitter.com/N89597804Nami/status/1736002069503541587
Sat Dec 16 12:34:09 +0000 2023;1736001766549012915;"@antaranews Capres dan Cawapres yang demokratis, Ganjar Pranowo dan Mahfud MD memancarkan aura kepemimpinan yang mengagumkan.";0;0;0;0;in;1709022043474395136;1735898572712001877;firmandora21541;https://twitter.com/firmandora21541/status/1736001766549012915
Sat Dec 16 12:26:40 +0000 2023;1735999883688153339;"@putri_Aalona Ketahuilah wahai saudaraku...meski kami bukan kader PDIP...tapi soal capres cawapres kami siap dukung dan pilih Ganjar dan Mahfud karena bagi kami mereka adalah yg terbaik dari yg terbaik untuk keutuhan NKRI.";0;0;0;0;in;1346513483387396096;1735683350302699980;Alkusairi7;https://twitter.com/Alkusairi7/status/1735999883688153339
Sat Dec 16 12:25:24 +0000 2023;1735999566842052981;"@Ghurem2 Ganjar Mahfud Tegas menjadikan kita motivasi sekali untuk perjuangan nya menjdikn pemimpin Indonesia sukses terus cawapres nomor 3";0;0;0;0;in;1706987092663037952;1735976742303777084;fauziyyah_4156;https://twitter.com/fauziyyah_4156/status/1735999566842052981
Sat Dec 16 12:19:39 +0000 2023;1735998118469288356;"Mundur wir... Capres dan Cawapres gw Ganjar Mahfud Tegas  Mundur wiir..Capres Cawapres gw orang  berilmu bukan manusia halu.. Cuaakkss 😜😄👍🤟 https://t.co/mn6YmaOciG";4;4;41;68;in;1411227935613222915;1735998118469288356;Yulia_NS79;https://twitter.com/Yulia_NS79/status/1735998118469288356
Sat Dec 16 12:11:09 +0000 2023;1735995979655258588;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Alhamdulilah 🙏  #SahabatGanjar #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/tKrS9LXGBv";0;0;3;4;in;1240137086331748352;1735995979655258588;Penyair_Berdiri;https://twitter.com/Penyair_Berdiri/status/1735995979655258588
Sat Dec 16 11:59:59 +0000 2023;1735993169354067971;"Pasangan Capres-cawapres Ganjar-Mahfud MD akan memprioritaskan program pemberian insentif utk kesejahteraan Guru madrasah dan marbot masjid  Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis utk hadiri deklarasi Ulama Barisan Lauhul Mahfud Se-Priangan #GanjarMahfud2024 https://t.co/vJBqDoB6Zw";0;0;10;10;in;1144772185229160449;1735993169354067971;eddy_widodo_165;https://twitter.com/eddy_widodo_165/status/1735993169354067971
Sat Dec 16 11:56:13 +0000 2023;1735992219822395569;"Rekam jejak cawapres yang akan berdebat jumat 22 des 2023  -Cak Imin Aktivis PMII Menakertrans Wakil ketua MPR Wakil ketua DPR Ketua Partai PKB  -Mahfud MD Aktivis HMI Anggota DPR RI Rektor UNISKA Menteri Kehakiman &amp  Ham Menteri Pertahanan Ketua Mahkamah konstitusi Menkopolhukam… https://t.co/zgkwy3qkfu";21;137;192;667;in;1006827831995711488;1735992219822395569;ekowboy2;https://twitter.com/ekowboy2/status/1735992219822395569
Sat Dec 16 11:50:01 +0000 2023;1735990662951276840;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis   #SahabatGanjar #GanjarPranowo https://t.co/5cx7z7YGpo";0;0;0;0;in;2497018502;1735990662951276840;125Japstyle;https://twitter.com/125Japstyle/status/1735990662951276840
Sat Dec 16 11:48:31 +0000 2023;1735990285585522702;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis.  🇮🇩🇮🇩🇮🇩🤟🤟🤟  #SahabatGanjar https://t.co/4Uhm1PwSSK";0;1;5;7;in;564007612;1735990285585522702;Sentani_REBORN;https://twitter.com/Sentani_REBORN/status/1735990285585522702
Sat Dec 16 11:45:15 +0000 2023;1735989463397056816;"Pasangan Capres-cawapres @ganjarpranowo-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis   #SahabatGanjar https://t.co/b2lMmO4uRY";0;0;6;9;in;1218153107051315200;1735989463397056816;Enimarf;https://twitter.com/Enimarf/status/1735989463397056816
Sat Dec 16 11:39:53 +0000 2023;1735988110876639466;"@NUgarislucu Prof Mahfud MD mempunyai proven track record, juga pencalonan sbg Cawapres dilakukan dengan proses yg proper…";0;0;0;0;in;1168731172513308672;1735952684405108985;DTangkalalo;https://twitter.com/DTangkalalo/status/1735988110876639466
Sat Dec 16 11:28:36 +0000 2023;1735985271924302140;"Pasangan Capres-cawapres Ganjar-Mahfud MD akan  memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid.  Hal itu terungkap saat Cawapres Mahfud MD melakukan kunjungan ke Ponpes Cijantung, Ciamis untuk menghadiri deklarasi Ulama Barisan… https://t.co/toueqvHTxw";0;0;0;5;in;2826562393;1735985271924302140;L1L178;https://twitter.com/L1L178/status/1735985271924302140
Sat Dec 16 11:16:47 +0000 2023;1735982299622355191;"@NUgarislucu Prof Mahfud itu lengkap pengalamannya, sy malah berharap beliau jd capres bukan cawapres...";0;0;0;0;in;2203160430;1735952684405108985;fadlisultan81;https://twitter.com/fadlisultan81/status/1735982299622355191
Sat Dec 16 11:11:36 +0000 2023;1735980993486729612;"Pasangan Capres-cawapres Ganjar-Mahfud MD mengklaim bakal memprioritaskan program pemberian insentif untuk kesejahteraan Guru madrasah dan marbot masjid. #SahabatGanjar  #GanjarMahfud2024 https://t.co/gOkHUwTZMX";0;1;5;13;in;1320760933946331136;1735980993486729612;LArismi11;https://twitter.com/LArismi11/status/1735980993486729612
Sat Dec 16 11:10:00 +0000 2023;1735980589831143781;"Mahfud: Kalau Dikasih Uang Terima Aja, Diteror Pilih Ini-Itu Iyain Aja  Cawapres nomor urut 3 Mahfud Md beranggapan masyarakat tak masalah jika menerima uang saat kampanye. Tapi, ia meminta masyarkat memilih sesuai hati nurani.  &gt &gt  https://t.co/shBhox4xnl  #detikcom";0;2;0;7;in;69183155;1735980589831143781;detikcom;https://twitter.com/detikcom/status/1735980589831143781
Sat Dec 16 10:51:42 +0000 2023;1735975987446485185;"@RobustaG @xquitavee GANJAR SAT SET SAT = PERSATUAN. SET = SETAN.  MAHFUD TAS TES  TAS = TEMAN ABADI SETAN. TES = TERNYATA EMANG SETAN.  CAPRES/CAWAPRES DARI SETAN. https://t.co/2QlSxU7r5L";0;0;1;1;in;1519324424679608322;1735584055083864189;Maruahalsiahaa2;https://twitter.com/Maruahalsiahaa2/status/1735975987446485185
Sat Dec 16 10:50:46 +0000 2023;1735975751869137261;"GanjarMahfud Tegas  Ganjar dan Mahfud punya banyak rekam jejak baik dalam isu antikorupsi. Keduanya yang sudah berkali-kali merasakan jabatan publik dan terbukti bersih dari kasus korupsi. Keduanya terbukti sebagai capres-cawapres paling tegas dan berpihak kepada masyarakat, https://t.co/NqsQV4haLa";0;0;3;6;in;1366400355366432768;1735975751869137261;awan_mer4h;https://twitter.com/awan_mer4h/status/1735975751869137261
Sat Dec 16 10:46:05 +0000 2023;1735974570207883633;"Cawapres Mahfud MD Menegaskan Tidak Mau Menjadi Ban Serep dalam Mengatasi Persoalan Hukum.  Innalillahi Ndasmu Bercanda Aceh Onic U-17 Coraline jubir desa Malmingan https://t.co/DZ5RBBO5Tq";0;0;1;5;in;1534185274515030016;1735974570207883633;infoterbaruplg;https://twitter.com/infoterbaruplg/status/1735974570207883633
Sat Dec 16 10:42:42 +0000 2023;1735973721318604878;"Indonesia memerlukan sosok pemimpin tegas dan karakter. Sosok itu ada di pasangan capres-cawapres, Ganjar-Mahfud.  Ketegasan Ganjar dan Mahfud, sudah teruji ketika menjabat di pemerintahan. Keduanya mampu mengutamakan kepentingan rakyat melalui program dan kebijakan.… https://t.co/bNeJThL9GU";0;1;10;14;in;940486643546386432;1735971733142970566;__RismaWidiono_;https://twitter.com/__RismaWidiono_/status/1735973721318604878
