created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 16 10:24:05 +0000 2023;1735969037409227168;"Kubu Tim Nasional (Timnas) Pemenangan Anies Baswedan-Muhaimin Iskandar (AMIN) meyakini calon wakil presiden (cawapres) Muhaimin Iskandar (Cak Imin) ba... https://t.co/hapZzVAU8T";0;0;0;0;in;46693036;1735969037409227168;inilahdotcom;https://twitter.com/inilahdotcom/status/1735969037409227168
Sat Dec 16 09:51:28 +0000 2023;1735960828229374267;"Cawapres Paslon nomor urut 1, Muhaimin Iskandar menemui Aliansi Ikatan Tausiah Muqimin Indonesia (ITMI) di Madinah, Arab Saudi.  #cawapres2024 #muhaiminiskandar https://t.co/rUG22EVrmf";0;0;0;0;in;1698580133068865536;1735960828229374267;heralddotID;https://twitter.com/heralddotID/status/1735960828229374267
Sat Dec 16 06:19:15 +0000 2023;1735907419757388042;"Jumat depan (22/12/2023), giliran para Cawapres, Muhaimin Iskandar, Gibran Rakabuming Raka, dan Mahfud MD bersiap menjalani debat. Publik pun tak sabar melihat aksi mereka nanti. https://t.co/xteqoBKOD9";0;1;0;1;in;1474011848118657029;1735907419757388042;_rakyatmerdeka;https://twitter.com/_rakyatmerdeka/status/1735907419757388042
Sat Dec 16 04:22:11 +0000 2023;1735877959897194996;"KPU RI telah menerima pendaftaran tiga bakal pasangan capres-cawapres, yakni Anies Baswedan-Muhaimin Iskandar, Ganjar Pranowo-Mahfud MD, dan Prabowo Subianto-Gibran Rakabuming Raka  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;0;0;0;in;246449701;1735877880352284850;HeryWP;https://twitter.com/HeryWP/status/1735877959897194996
Sat Dec 16 04:16:34 +0000 2023;1735876548983685244;"Capres ANIES BASWEDAN  Cawapres MUHAIMIN ISKANDAR  Singkatan AMIN  Nomor Urut NO 1  Partai Pendukung PKS PKB NASDEM UMMAT  Slogan PERUBAHAN  * 14 Februari 2024 Coblos No 1 Anies Baswedan-Muhaimin Iskandar.   Wakanda No More Indonesia Forever! https://t.co/MTqhzRBDx8";0;1;14;20;in;1473951054744068100;1735876548983685244;Onl1Jb;https://twitter.com/Onl1Jb/status/1735876548983685244
Sat Dec 16 04:00:00 +0000 2023;1735872378087903429;"Anies Baswedan, menyebut pasangannya Muhaimin Iskandar (Cak Imin) siap menghadapi debat cawapres. Anies menilai Cak Imin sangat mumpuni untuk menghadapi debat di KPU pada Jumat (22/12). https://t.co/MwNRAeovev";0;2;4;18;in;69183155;1735872378087903429;detikcom;https://twitter.com/detikcom/status/1735872378087903429
Sat Dec 16 01:08:15 +0000 2023;1735829154095124683;"Anies Yakin Cak Imin Siap Debat Cawapres: Berpengalaman-Mumpuni  Calon Presiden Nomor Urut 1, Anies Baswedan, menyebut pasangannya Muhaimin Iskandar (Cak Imin) siap menghadapi debat cawapres.   &gt &gt  https://t.co/IFul7dvYTs  #20detik";0;4;0;24;in;69183155;1735829154095124683;detikcom;https://twitter.com/detikcom/status/1735829154095124683
Sat Dec 16 00:11:56 +0000 2023;1735814983798403331;"Kiri :  Ustadz Abdul Somad pendukung 01 capres Anies Baswedan &amp  cawapres Muhaimin Iskandar...  Kanan : Gus Miftah pendukung 02 capres Prabowo Subianto &amp  cawapres Gibran Rakabuming...  🤔 https://t.co/TcqUZOWs8r";0;1;4;3;in;80559922;1735814983798403331;ferizandra;https://twitter.com/ferizandra/status/1735814983798403331
Fri Dec 15 23:42:18 +0000 2023;1735807523985461299;"@DPNAminBalad Capres dan cawapres Anies Baswedan dan Muhaimin Iskandar merupakan pasangan serasi idaman rakyat Indonesia yang takut sama AMIN minggir jauh-jauh ke negeri seberang Semoga Allah SWT memberi kemenangan mutlak pada pasangan AMIN";0;0;0;0;in;913712028446973952;1735614759352054254;Arman17680;https://twitter.com/Arman17680/status/1735807523985461299
Fri Dec 15 17:02:09 +0000 2023;1735706824546902018;"Jubir Timnas AMIN: Muhaimin Iskandar Siap Debat Cawapres 22 Desember Nanti.   Muhaimin Iskandar sudah memiliki pengalaman dalam berdialog dgn baik dan Muhaimin Iskandar juga pernah mengikuti debat di forum. #aminkanindonesia  https://t.co/NownEdoLRh @Anies_Relawan @nieke_olivia";0;0;0;0;in;1460142601449840652;1735706824546902018;Simanjunta9Nico;https://twitter.com/Simanjunta9Nico/status/1735706824546902018
