created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 05:00:00 +0000 2023;1738786579018031352;"Menurut Roy Suryo, ada sejumlah kejanggalan dalam debat yang dilaksanakan oleh Komisi Pemilihan Umum (KPU) itu.  Roy Suryo terfokus pada cawapres nomor urut 02, Gibran Rakabuming Raka.  https://t.co/SGFGosUgnY";0;0;0;0;in;1115596135287025664;1738786579018031352;tribunnewswiki;https://twitter.com/tribunnewswiki/status/1738786579018031352
Sat Dec 23 21:46:52 +0000 2023;1738677579983565172;"Cukup kyknya buat 02, kesyan masih muda jgn kebanyakan dibahas takut kena star syndrom wk. Sekarang mari bahas real MVP debat cawapres kemarin buat gue, cawapres nomor urut 03, Yth. Bapak Prof. Dr. H. Mahfud Mahmodin, S.H., S.U., M.I.P.";0;1;0;0;in;192948650;1738491221696487833;afputras;https://twitter.com/afputras/status/1738677579983565172
Sat Dec 23 11:42:41 +0000 2023;1738525530373140509;"Capres nomor urut 01 Anies Baswedan menanggapi pertanyaan SGIE (State of the Global Islamic Economy) yang ditanyakan cawapres nomor urut 02 Gibran Rakabuming Raka #pemilupedia #newsupdate #update #news #videonews #kumparan. https://t.co/V4c1NQhViP https://t.co/4d3MYTAqIn";1;6;6;8;in;759692754985242625;1738525530373140509;kumparan;https://twitter.com/kumparan/status/1738525530373140509
Sat Dec 23 06:35:48 +0000 2023;1738448300968431880;"Calon wakil presiden (cawapres) nomor urut 2 Gibran Rakabuming Raka menuai pujian dan sentimen positif di media sosial usai tampil dalam debat Pilpres 2024 di Jakarta Convention Center, Jumat (22/12) malam. Hasil ini didapat dari riset Continuum Institute for Development of… https://t.co/mFZNouTnIZ";0;7;3;13;in;1272038588721410048;1738448300968431880;prabowogibran02;https://twitter.com/prabowogibran02/status/1738448300968431880
Sat Dec 23 04:15:34 +0000 2023;1738413011365511209;"Calon wakil presiden (Cawapres) nomor urut 02, Gibran Rakabuming Raka menyebut bahwa program makan siang gratis senilai Rp400 triliun merupakan sebuah... https://t.co/DurlocfsQW";0;0;0;0;in;46693036;1738413011365511209;inilahdotcom;https://twitter.com/inilahdotcom/status/1738413011365511209
Sat Dec 23 03:00:08 +0000 2023;1738394027316170984;"Sekjen PDIP, Hasto Kristiyanto, menanggapi pertanyaan cawapres nomor urut 02, Gibran Rakabuming Raka. Hasto mengatakan carbon capture and storage justru rusak karena program food estate.⁠ #pemilupedia #newsupdate #update #news #quote #kumparan https://t.co/ux91ayJasS https://t.co/DjlOmKCMjc";0;4;0;10;in;759692754985242625;1738394027316170984;kumparan;https://twitter.com/kumparan/status/1738394027316170984
Sat Dec 23 02:59:10 +0000 2023;1738393784797549011;"Calon Wakil Presiden (Cawapres) dari nomor urut 02 Gibran Rakabuming Raka menyatakan jika penyediaan sanitasi dan air bersih merupakan dua hal yang ta... https://t.co/uGl4UreWbW";0;0;0;0;in;46693036;1738393784797549011;inilahdotcom;https://twitter.com/inilahdotcom/status/1738393784797549011
Fri Dec 22 15:32:34 +0000 2023;1738220994488402141;"Calon wakil presiden (Cawapres) nomor urut 1, Muhaimin Iskandar atau Cak Imin tak sengaja menjatuhkan mikrofon saat mendengar jawaban dari cawapres 02... https://t.co/VtZK80b8H2";0;0;0;0;in;46693036;1738220994488402141;inilahdotcom;https://twitter.com/inilahdotcom/status/1738220994488402141
Fri Dec 22 14:32:38 +0000 2023;1738205912345850051;"Relawan dan pendukung Capres nomor urut 02 Kota Tangerang melaksanakan Nobar Debat Cawapres malam ini, Jumat, (22/12) di Aula Modernland Jl. Bukit Golf Tengah Raya, Poris Plawad Indah, Cipondoh Kota Tangerang yang dihadiri oleh sejumlah ketua partai dan relawan. 📸Mum… https://t.co/1Kbsfp8gCw";0;0;2;3;in;121640063;1738205912345850051;RadioElshinta;https://twitter.com/RadioElshinta/status/1738205912345850051
Fri Dec 22 13:51:38 +0000 2023;1738195594106355748;"Pasangan capres-cawapres nomor urut 2 Prabowo Subianto dan Gibran Rakabuming Raka berjanji akan mendirikan Badan Penerimaan Negara jika kelak terpilih dalam Pilpres 2024.  Pernyataan itu diungkapkan Gibran saat Debat Pertama Cawapres. Gibran juga mengatakan Badan Penerimaan… https://t.co/5W6ynhlD4t";0;0;1;7;in;1272038588721410048;1738195594106355748;prabowogibran02;https://twitter.com/prabowogibran02/status/1738195594106355748
