created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 21:59:58 +0000 2023;1739043262114189558;"@BosPurwa Mantap pak.. @aniesbaswedan  #DesakAnies";0;0;0;0;in;1589812013013688322;1738547268905771370;pengawashidupmu;https://twitter.com/pengawashidupmu/status/1739043262114189558
Sun Dec 24 21:59:52 +0000 2023;1739043236663165273;"@imanlagi Ketimbang bikin konsep acara kaya Desak Anies gini. Mending Slepet Imin di adain di pesantren-pesantren biar sesuai Cak Imin kan santri. Jadi biar santri yg nanya. Konsep nya kaya pas Muhammadiyah Undang Cak Imin kemarin. Tapi ini Khas NU gitu di bikin nya. Mohon dipertimbangkan";0;0;0;0;in;841361780;1738916429817434545;alzaaja;https://twitter.com/alzaaja/status/1739043236663165273
Sun Dec 24 21:57:52 +0000 2023;1739042736152731904;"@sniperruben45 @_endahsekar @catperku @ainunnajib Tujuan desak Anies itu justru untuk wadah orang yang banyak bacot disosmed doang kayak lo biar bacotnya langsung depan pak Anies";0;0;0;0;in;1679813939331489792;1738905077019234655;rabbanirayhan_;https://twitter.com/rabbanirayhan_/status/1739042736152731904
Sun Dec 24 21:50:53 +0000 2023;1739040978609299845;"@RikeSants Wah mau persiapan acara DESAK ANIES ya Mbak?";0;0;0;0;in;1247887947602341891;1739006183061537041;Ichsaaannnnn;https://twitter.com/Ichsaaannnnn/status/1739040978609299845
Sun Dec 24 21:50:22 +0000 2023;1739040847352693136;"@NOTASLIMBOY desak anies dong paman gembul https://t.co/5PhQGOhCFh";0;0;0;0;in;2262839850;1738830443397701883;duniaordinary;https://twitter.com/duniaordinary/status/1739040847352693136
Sun Dec 24 21:49:56 +0000 2023;1739040738636341349;"Anak Muda All-in poll Prabowo-Gibran 🔥✌️ #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #prabowogibran2024 #Fuji #Samsul Desak Anies #Hilirisasi #Tidur Paman Gembul #Ciee #Jogja #PUNYAAAA #Samsul #Bandung #Kebangun #Subuh #Lembang #BPJS #Bobo https://t.co/7jvFCeF0II";0;0;0;0;in;1421943163;1739040738636341349;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1739040738636341349
Sun Dec 24 21:49:19 +0000 2023;1739040584541806967;"Ada Desak Anies, ada Malmingan Ganjar. Keren. Pilpres kali ini ada improvements";0;0;0;0;in;123471959;1739040584541806967;NanangHaikal;https://twitter.com/NanangHaikal/status/1739040584541806967
Sun Dec 24 21:45:24 +0000 2023;1739039596523266522;"@cebongidas @imanlagi Wowo boro2 mau ditanyain brwm. Sementara ganjar klo dah ditanya pertanyaan intelektual dan substantif malah kacau parah, keliatan kmaren ketimpangan iq dan gagasan antara anies dan Ganjar waktu di "desak" forum APINDO yg isinya taipan2 indonesia.";0;0;0;0;in;1284263730411212800;1738773251139264832;THEVERSES2;https://twitter.com/THEVERSES2/status/1739039596523266522
Sun Dec 24 21:45:01 +0000 2023;1739039501228605912;"Ada informasi bagus dari pak @aniesbaswedan di desak anies. Yaitu: “punya kewenangan maka harus mendengarkan yang punya pengetahuan.” Dengan itu pemerintah bisa berkolaborasi dengan pekerja kreatif. Nice answers Sir 😊 ohya desak anies ini bagus deh,pasangan lain ga ada yg punya?";0;0;0;0;in;1087413961442582528;1739039501228605912;safiraarrifai;https://twitter.com/safiraarrifai/status/1739039501228605912
Sun Dec 24 21:44:37 +0000 2023;1739039402008232063;"Emang mantap, buat anak muda Kitapastikan Kitagibran adalah contoh nyata bahwa usia tdk jadi penghalang utk jadi pemimpin. #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #prabowogibran2024 #Fuji #Samsul Desak Anies #Hilirisasi #Tidur Paman Gembul https://t.co/Lkt2sBBuKp";0;0;0;0;in;1421943163;1739039402008232063;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1739039402008232063
