created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 14 12:31:08 +0000 2023;1735276232357675291;"Pasangan capres-cawapres nomor urut tiga, Ganjar Pranowo-Mahfud MD bakal memprioritaskan Program Satu Desa, Satu Faskes, dan Satu Nakes. Langkah itu dilakukan untuk memberikan kemudahan kepada masyarakat untuk mengakses layanan kesehatan.  @ganjarpranowo #GasssGanjarMahfud https://t.co/n8Z1NhjO0u";0;8;10;11;in;1651918918112641024;1735276232357675291;Bakoto45;https://twitter.com/Bakoto45/status/1735276232357675291
Thu Dec 14 11:00:00 +0000 2023;1735253300524585283;"Pasangan Capres-Cawapres nomor urut tiga, Ganjar Pranowo-Mahfud MD akan mempercepat digitalisasi layanan kesehatan di semua fasilitas kesehatan di seluruh Indonesia.  https://t.co/f8IhrzVE83  #ganjar #GanjarMahfud #rakyatmerdeka https://t.co/4hdrqLzaSw";0;100;106;114;in;1474011848118657029;1735253300524585283;_rakyatmerdeka;https://twitter.com/_rakyatmerdeka/status/1735253300524585283
Thu Dec 14 09:46:42 +0000 2023;1735234851975098697;"Capres-cawapres nomor urut tiga Ganjar-Mahfud, duo pilihan yang tak hanya berjanji tapi memberikan solusi nyata bagi Indonesia.  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/idECNEcvUY";0;0;6;9;in;1230994530083565568;1735234851975098697;sahabatganjar;https://twitter.com/sahabatganjar/status/1735234851975098697
Thu Dec 14 08:23:01 +0000 2023;1735213794295705755;"Debat ini diikuti oleh tiga pasangan capres-cawapres, yaitu nomor urut 1 Anies Baswedan-Muhaimin Iskandar, nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka, dan nomor urut 3 Ganjar Pranowo-Mahfud Md.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy";0;1;0;0;in;1644589026832424963;1735213733071515705;Rudigesper;https://twitter.com/Rudigesper/status/1735213794295705755
Thu Dec 14 08:21:49 +0000 2023;1735213492494610889;"Debat diikuti tiga pasangan capres-cawapres yakni nomor urut 1 Anies Baswedan-Muhaimin Iskandar, nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka, dan nomor urut 3 Ganjar Pranowo-Mahfud Md. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy";0;1;0;0;in;1644589026832424963;1735213443144442313;Rudigesper;https://twitter.com/Rudigesper/status/1735213492494610889
Thu Dec 14 05:50:51 +0000 2023;1735175500191224306;"Pasangan capres-cawapres nomor urut tiga, Ganjar Pranowo -Mahfud MD memprioritaskan akses pelayanan kesehatan bagi masyarakat melalui program unggulan Satu Desa, Satu Faskes, dan Satu Nakes.  #1Desa1Fakses1Nakes https://t.co/TQJ1U6JrhY";0;2;31;73;in;940486643546386432;1735175500191224306;__RismaWidiono_;https://twitter.com/__RismaWidiono_/status/1735175500191224306
Thu Dec 14 04:34:22 +0000 2023;1735156248864281019;"Debat diikuti tiga pasangan capres-cawapres yakni nomor urut 1 Anies Baswedan-Muhaimin Iskandar, #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1615229496415883264;1735156177108172948;erick140451997;https://twitter.com/erick140451997/status/1735156248864281019
Thu Dec 14 00:49:00 +0000 2023;1735099536648118571;"capres nomor urut tiga Ganjar Pranowo menyampaikan hasil blusukannya selama kampanye bersama cawapres Mahfud Md, mulai dari titik awal Sabang dan Merauke.  Ganjar pun menyatakan siap memperbaiki seluruh fasilitas publik mulai dari kesehatan hingga pendidikan.  #SahabatGanjar https://t.co/M8pIj4cABs";0;0;0;0;in;1395620711503335425;1735099536648118571;SiroLaw3;https://twitter.com/SiroLaw3/status/1735099536648118571
Wed Dec 13 16:22:58 +0000 2023;1734972187180962007;"Capres nomor urut tiga @ganjarpranowo menyampaikan hasil blusukannya selama kampanye bersama cawapres @mohmahfudmd mulai dari titik awal Sabang &amp  Merauke.  Pak Ganjar pun menyatakan siap memperbaiki seluruh fasilitas publik mulai dari kesehatan hingga pendidikan. #SahabatGanjar https://t.co/MsmkMVk9mQ";0;0;1;5;in;1496839988365111298;1734972187180962007;TracyPedas;https://twitter.com/TracyPedas/status/1734972187180962007
Wed Dec 13 15:25:15 +0000 2023;1734957663501574418;"Calon presiden (capres) nomor urut tiga Ganjar Pranowo menyampaikan hasil blusukannya selama kampanye bersama cawapres Mahfud Md, mulai dari titik awal Sabang dan Merauke.  Ganjar pun menyatakan siap memperbaiki fasilitas publik.  #SahabatGanjar  #GanjarMahfud2024 https://t.co/k2QRC9xkAW";0;0;8;9;in;547268357;1734957663501574418;kaddafong;https://twitter.com/kaddafong/status/1734957663501574418
