created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 20:49:37 +0000 2023;1739025557344649618;"@TeddGus @Arie_Kriting @abdurarsyad Kau aja yg bodoh Teddy. Ganjar bicara di Forum Apindo dmn istilah itu dikenal audiens. Semntr si Samsul bicara di publik puluhan juta orang yg tidak kenal isitilah itu. apalagi ditambah perluas kebun binatang dan gemukkan binatang2 nya. akibatnya sentimen negatif yg didapat.";0;0;0;0;in;1523039644140687365;1738784586715578835;CakraAjiPS;https://twitter.com/CakraAjiPS/status/1739025557344649618
Sun Dec 24 19:04:56 +0000 2023;1738999214670307706;"@memelord_666666 Pernyataan Bodoh bgt....yg pnh jd kepala daerah kyk anies dan ganjar udah lewati urusan2 yg bgni.... harusnya si samsul ngundurin diri klo mo jd cawapres tapi mmg gk punya etika siy jd bertahan  jd walkot 😛 #NdasmuEtik";0;0;0;0;in;990217579535855617;1738920196830830895;hasianhu66;https://twitter.com/hasianhu66/status/1738999214670307706
Sun Dec 24 15:43:56 +0000 2023;1738948631498195395;"@Amwin_K @YudhaShanny2 yg bodoh itu elu apa gue? di foto itu ngebandingin gibran sama alam ganjar..";0;1;0;0;in;103473118;1737688444145652061;AdheOktama;https://twitter.com/AdheOktama/status/1738948631498195395
Sun Dec 24 14:32:08 +0000 2023;1738930563409641745;"@_zhyme Bodoh aja  kalian gak tah SGIE,kurang pengetahuan umum,otak anda Ganjar gak Cerdas,dipastikan gak bisa bahasa Inggris,kek mana kalo ada undangan ke Amerika dll ,memalukan ,ini bisa jd Bokep lo https://t.co/ftjGfUqKUQ";0;0;0;0;in;1705950363508244481;1738893250910675136;LapoTuak357329;https://twitter.com/LapoTuak357329/status/1738930563409641745
Sun Dec 24 12:30:58 +0000 2023;1738900070844813684;"@toe_giman Inilah tujuannya Bapak itu disuruh ke Panggung pas ada sesi interview..kamera On,banyak mata, biar di framing Pak Ganjar sombong,kasar dan Tempramen 🙄  Untung Doi tenang &amp  santai malah bapak itu keliatan bodoh,gak tau Adab,gagal deh framingnya 🤣";0;3;0;3;in;1715259173037027328;1738755316479910247;AnaSamhad;https://twitter.com/AnaSamhad/status/1738900070844813684
Sun Dec 24 10:29:29 +0000 2023;1738869495538839925;"@sutanmangara @Dahnilanzar Anda mainnya kurang jauh bro, dalam dunia perpajakan istilah ungkapan kebun binatang udah sering digunakan. JK, ganjar, sering pakai istilah itu, anda jadi bodoh hanya krn benci …. Hahaha katrok";0;0;0;0;in;58115855;1738398529650053385;QruiseThonk;https://twitter.com/QruiseThonk/status/1738869495538839925
Sun Dec 24 10:23:24 +0000 2023;1738867966002028616;"Ganjar Pranowo, capres yang berwawasan, Prabowo jadi terkenal dengan joget-joget bodoh. @Riskaaiy  https://t.co/wZhwpCW9xI";0;0;0;0;in;1686563851440128000;1738867966002028616;AditGunaw;https://twitter.com/AditGunaw/status/1738867966002028616
Sun Dec 24 09:15:21 +0000 2023;1738850840168067534;"@marlina_idha Sudahlah ...diamkan toh itu sudah lewat . Dg pembelaan yg menyamakan pertanyaan cerdas cermat , malah terlihat tambah bodoh . Masa pertanyaan setingkat cerdas cermat seorang calon wakil presiden tidak bisa jawab . Tekankan jawaban terakhir sudah subtantif Saya tetap pilih Ganjar.";0;0;0;0;in;1601248697559703552;1738368696761123019;stionggi;https://twitter.com/stionggi/status/1738850840168067534
Sun Dec 24 08:53:40 +0000 2023;1738845383181451600;"@pkb_buruselatan Ada saja cara menjatuhkan lawan agar terlihat bodoh dan pintar Ciri2 manusia yang sulit di naseshati 1. Pendukung anis 2. Pendukung Prabowo 3. Pendukung ganjar Selesai";0;0;0;0;in;1015169616929218560;1738240222222299521;tintahitam23;https://twitter.com/tintahitam23/status/1738845383181451600
Sun Dec 24 08:06:18 +0000 2023;1738833462877130868;"@sampandi @mochamadarip anda denial. pengandaian yg dipakai Gibran, lumrah dipakai bbrapa org tmsk ganjar. memperluas kebun binatang itu ya menambah jangkauan pemerintah utk mengenakan pajak. saya yakin anda tau namun denial. tp juga apa memang anda benaran tdk tahu? ya bodoh itu namanya.";0;3;0;0;in;366554970;1738710804495806541;efodsamosir;https://twitter.com/efodsamosir/status/1738833462877130868
