created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 12:30:45 +0000 2023;1738900014288773563;"@tengil_9 @ArbaniGiofani @MurtadhaOne1 Lo ngapain nanya sama gemoy dan gibran? Lu tanya lah sama pendukungnya ganjar, apa lagi menkopolhukam mahfud, lu klo mau nyalahin orng minimal lu tau dulu tupoksi pekerjaan seseorang, tolol banget lu..... Buzzer murahan sih maka nya tolol 🤣🤣";0;0;0;0;in;1715198080054910976;1738525991394594909;wakwaw12309;https://twitter.com/wakwaw12309/status/1738900014288773563
Sun Dec 24 11:56:12 +0000 2023;1738891321849618745;"Bagi kita millenials lansia anak anjing anak tolol bisa pilih pemimpin berkualitas kayak Ganjar dan Mahfud aayeeeeee @JongkerJ  Top ! Sat Set https://t.co/vZONkm5BWo";0;0;0;0;in;1684506964154527744;1738891321849618745;indahprnmsri100;https://twitter.com/indahprnmsri100/status/1738891321849618745
Sun Dec 24 11:32:11 +0000 2023;1738885275399647238;"@xquitavee Bujer setres gak laku,🤣mampuss aja loh makin lo hujat ganjar makin terkenal dia,😁 maka nya jgn TOLOL @xquitavee";0;0;0;0;in;1514810611309637638;1738804936828403899;SarwoEnak;https://twitter.com/SarwoEnak/status/1738885275399647238
Sun Dec 24 11:05:11 +0000 2023;1738878483747758426;"@Miduk17 Bila dilihat dari cara Prabowo  menarik Bahlil, tu menunjukan arogannya seorang Prabowo. Sebenarnya Prabowo bisa lakukan itu kepada Jokowi, Prabowo menganggap Jokowi itu idiot, Prabowo dibalik pernyataan Rocky Gerung untuk katakan Bajingan, Dungu dan Tolol ke Jokowi.";0;0;0;0;in;1679847572515741697;1738753203393740888;SteiviT28671;https://twitter.com/SteiviT28671/status/1738878483747758426
Sun Dec 24 11:01:57 +0000 2023;1738877667674595414;"@HusinShihab Gara2 buzzer2 tolol macam si arab Husin @HusinShihab  ini .. suara Ganjar amblas dan gak mungkin bisa menang Pilpres !!!!";0;0;0;1;in;1484930802064367618;1738857059813302364;ongko_p;https://twitter.com/ongko_p/status/1738877667674595414
Sun Dec 24 10:25:36 +0000 2023;1738868520853835823;"@MurtadhaOne1 pantes pendukung ganjar orang tolol begini";0;0;0;0;in;1188183337292058624;1738525991394594909;Pizzahutts1;https://twitter.com/Pizzahutts1/status/1738868520853835823
Sun Dec 24 09:45:56 +0000 2023;1738858537739231399;"@LuigiDeJong @yusuf_dumdum @KPU_ID Gw juga pendukung Ganjar tp ga tolol bgt kayak lu, malu maluin 🥱";0;0;0;0;in;276852855;1738816554559779237;ITweetLyricSong;https://twitter.com/ITweetLyricSong/status/1738858537739231399
Sun Dec 24 07:17:19 +0000 2023;1738821137210208747;"@ronalkusut @Chaves1305 @xquitavee @alextham878 @PartaiSocmed @Kimberley_2024 @MukarromahNur78 Lu emang tolol yang memulai menghina itu barisan celeng ganjar dn PDIP ,kalian menghina Jokowi dan ibu Iriana giliran den bokep dan istrinya dihina kalian marah,otak kalian itu emang sparuh otak celeng 😂😂😂😂 https://t.co/FTr0rJ6eG1";0;1;0;0;in;1210930281575632897;1738747175801442554;wellymerukh;https://twitter.com/wellymerukh/status/1738821137210208747
Sun Dec 24 06:27:56 +0000 2023;1738808709676224814;"@Maruahalsiahaa2 Buat analisa manusia2 tolol mungkin seperti itu tapi bagi ya waras nalar yg dilihat bukan PDIP y tapi figur Ganjar-Mahfud yg ibarat langit dan bumi dibanding capres lainnya dg demikian otomatis PDIP bakalan dicoblos demi memenangkan GAMA…silahkan kalian sujud syukur palsu 😭";0;1;2;8;in;1604434777687601152;1738768477320782325;SifrojiA;https://twitter.com/SifrojiA/status/1738808709676224814
Sun Dec 24 03:56:51 +0000 2023;1738770690105594076;"@AhmadMoras @MurtadhaOne1 buzzer Ganjar tolol bgt🤣, saking ga ada bahan malah nyebar fitnah,opsi malah memalukan wkwkwk";0;2;0;4;in;1648783225777717248;1738525991394594909;rfyki_57;https://twitter.com/rfyki_57/status/1738770690105594076
Sun Dec 24 03:55:02 +0000 2023;1738770230518993151;"@MusaRudy_Stpl @MurtadhaOne1 lu yang babi tolol,buzzer Ganjar mau yang di tiktok di tweet pada tolol wkwkw....malu maluin Ganjar ajh,kaisar bapak ramah sekali 🤡🤣";0;0;0;0;in;1648783225777717248;1738525991394594909;rfyki_57;https://twitter.com/rfyki_57/status/1738770230518993151
Sun Dec 24 01:36:28 +0000 2023;1738735360124026977;"@YudhaShanny2 kalo mau di bedain kualitas mah jelas gibran unggul bos. kalo mau dukung pak ganjar ya harus nya lu banggain ganjar, bukan bandingin anak nya, pak ganjar sama pak jokowi juga jauh lebih bagus jokowi, anaknya juga lebih bagus gibran. blunder yg sangat tolol 🤣";0;1;0;72;in;103473118;1737688444145652061;AdheOktama;https://twitter.com/AdheOktama/status/1738735360124026977
Sun Dec 24 00:17:15 +0000 2023;1738715425788354886;"Kemarin prabowo dimasak anies ganjar lu seneng, gibran masak lu giniin. Alergi fakta banget tolol";0;0;0;0;in;1138158539623395328;1738715425788354886;fackboialim;https://twitter.com/fackboialim/status/1738715425788354886
Sun Dec 24 00:02:56 +0000 2023;1738711822105198939;"@memelord_666666 Tim pengamanannya tolol, kalau bapak itu punya niat jahat bisa jadi pak ganjar dan pak mahmud bisa jd kenapa-kenapa";0;0;0;1;in;1124919390300860416;1738449783176761580;KwTesalonika;https://twitter.com/KwTesalonika/status/1738711822105198939
