created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 22:32:12 +0000 2023;1739051373830750695;"Ganjar Pranowo, pilihan yang tepat! Peduli rakyat, bukan cuma janji manis. b_mafrud GanjarSikatKorupsi LanjutGANsemuamurah LanjutGANsemuakerja GanjarPresiden2024 mH56wc0QMl   #Mahfud3 #GanjarLebihBaik3 Hebat Ganjar Mahfud #MahfudLebihBaik3 Debat";0;0;0;0;in;84069616;1739051373830750695;cherylhumpherys;https://twitter.com/cherylhumpherys/status/1739051373830750695
Sun Dec 24 22:10:42 +0000 2023;1739045964596572419;""Yang sana Main Klaim Dukungan, Yang sini jelas berkali-kali menyatakan dukungan. Pak Ganjar pasti Presiden 2024, MERDEKA 🤟🏼🤟🏼🤟🏼  Ganjar Pranowo  PDI_Perjuangan    #MD3Debat #GanjarLebihBaik3 Hebat #MahfudLebihBaik3 Ganjar Mahfud Juara Debat";0;0;0;0;in;106468990;1739045964596572419;gessinay;https://twitter.com/gessinay/status/1739045964596572419
Sun Dec 24 21:58:13 +0000 2023;1739042824505455013;"Ganjar Pranowo, pilihan yang tepat! Peduli rakyat, bukan cuma janji manis. b_mafrud GanjarSikatKorupsi LanjutGANsemuamurah LanjutGANsemuakerja GanjarPresiden2024 mH56wc0QMl   #Mahfud3 #GanjarLebihBaik3 Hebat Ganjar Mahfud #MahfudLebihBaik3 Debat";0;0;0;0;in;74951005;1739042824505455013;subilg;https://twitter.com/subilg/status/1739042824505455013
Sun Dec 24 21:55:42 +0000 2023;1739042191232672222;"Ganjar Pranowo, pilihan yang tepat! Peduli rakyat, bukan cuma janji manis. b_mafrud GanjarSikatKorupsi LanjutGANsemuamurah LanjutGANsemuakerja GanjarPresiden2024 mH56wc0QMl   #GanjarLebihBaik3 Mahfud Hebat #MahfudLebihBaik3 #SatSet3 #MahfudJuara";0;0;0;0;in;930312228934336512;1739042191232672222;Sathish34629131;https://twitter.com/Sathish34629131/status/1739042191232672222
Sun Dec 24 21:55:17 +0000 2023;1739042083715822006;"Ganjar Pranowo, pilihan yang tepat! Peduli rakyat, bukan cuma janji manis. b_mafrud GanjarSikatKorupsi LanjutGANsemuamurah LanjutGANsemuakerja GanjarPresiden2024 mH56wc0QMl   #GanjarLebihBaik3 Mahfud Hebat #MahfudLebihBaik3 #SatSet3 #MahfudJuara";0;0;0;0;in;971378668583968768;1739042083715822006;SarojPr41496797;https://twitter.com/SarojPr41496797/status/1739042083715822006
Sun Dec 24 17:43:33 +0000 2023;1738978733569233357;"Calon Presiden Ganjar Pranowo bersilaturahmi dengan pimpinan Pondok Pesantren Mansyaul Huda, Majalengka, DR. KH. Achmad Sarkosi Subki.  Ganjar sempat didoakan oleh KH. Achmad Sarkosi Subki agar sukses dalam kontestasi Pilpres 2024.  #SahabatGanjar #GanjarMahfud2024 #SatSet… https://t.co/uvtaDWUK2K";0;0;0;1;in;4200694752;1738978733569233357;Ari3Pras;https://twitter.com/Ari3Pras/status/1738978733569233357
Sun Dec 24 17:30:19 +0000 2023;1738975405141586183;"@MarahIchsan Semoga pak Ganjar Pranowo dan pak Mahfud MD menjadi Presiden dan Wakil Presiden Republik Indonesia 2024-2029🇲🇨❤️ https://t.co/pPMKd3QfUw";0;0;0;0;in;1682448384446308353;1738962251930050804;LgaolMail47028;https://twitter.com/LgaolMail47028/status/1738975405141586183
Sun Dec 24 17:20:59 +0000 2023;1738973054397755792;"Calon Presiden @ganjarpranowo menyempatkan diri untuk bersilaturahmi dengan pimpinan Pondok Pesantren Mansyaul Huda, Majalengka, DR. KH. Achmad Sarkosi Subki,    Pada kesempatan itu, Ganjar turut didoakan oleh KH. Achmad Sarkosi Subki agar menang Pilpres 2024.  #SahabatGanjar https://t.co/GxSZFPa25x";1;0;0;1;in;1218153107051315200;1738973054397755792;Enimarf;https://twitter.com/Enimarf/status/1738973054397755792
Sun Dec 24 16:56:51 +0000 2023;1738966980508684333;"Pada debat cawapres 2024, Mahfud MD, Calon Wakil Presiden nomor urut tiga, menyoroti tiga aspek penting terkait perdagangan di Indonesia.   Dalam poin pertama, ia menekankan perlunya diplomasi ekonomi yang kuat sebagai landasan bagi pertumbuhan ekonomi yang berkelanjutan. https://t.co/XDJsgyv4uB";0;1;0;0;in;1548237019729391622;1738966980508684333;gp_indonesiagp;https://twitter.com/gp_indonesiagp/status/1738966980508684333
Sun Dec 24 16:55:48 +0000 2023;1738966718855479643;"Mangiring Tumpal  SampeTua Sibagariang SH  Nomor Urut 5  Calon Anggota DPRD Kota Bandung  Dapil 7 Meliputi Kecamatan : Cicendo, Andir, Sukajadi dan SukaSari   @mr_sibagariang "MUDA BERSINERGI"  ____________________  #seputarcaleg #pdiperjuangan  #ganjarpresiden2024 https://t.co/ouPLqKSyjr";0;0;1;1;in;1359953193224994817;1738966718855479643;seputarcaleg;https://twitter.com/seputarcaleg/status/1738966718855479643
Sun Dec 24 16:39:24 +0000 2023;1738962588216791138;"Ganjar Pranowo, Calon Presiden RI nomor urut 3 berbincang dengan anak muda dan Gen Z di Pontianak, Kalimantan Barat. Ganjar ingin menyerap aspirasi kaum berciri khas selalu terhubung dengan dunia maya.  Para anak muda dan kalangan Gen Z menyampaikan keluh kesahnya tentang https://t.co/Jnerevntii";0;1;0;0;in;1479757801299738627;1738962588216791138;4_gp2024;https://twitter.com/4_gp2024/status/1738962588216791138
