created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 12:39:10 +0000 2023;1738902131506336155;"@gibran_gen @gibran_tweet @prabowo sekelas ketua pkb lohh di tanya yang katanya bocah ingusan diem aja wkwkw malu malu in lu imin";0;0;0;0;in;1711628002533224448;1738425106198929907;Samsulll450498;https://twitter.com/Samsulll450498/status/1738902131506336155
Sun Dec 24 05:22:36 +0000 2023;1738792269732294718;"@KDroneHunter @sniperruben45 @PartBurungGalak @Adiprayitno_20 @dwiastnured Lha iya lah masa bapakmu yg ngatur kemauan seseorang entah itu baik atau buruk bisa saja dikabulkan Tuhan tapi berikut dgn resikonya,bukan tidak mungkin kalau akhirnya gibran menang dan kau tentu tahu resikonya kalau Indonesia dipimpin bocah ingusan dan si tua bau tanah.";0;0;0;0;in;1711754802454233088;1738521122327638269;MNyiyik23861;https://twitter.com/MNyiyik23861/status/1738792269732294718
Sun Dec 24 05:12:45 +0000 2023;1738789790932419068;"@KompasTV Sebelum debat, katanya Gibran pasti'ga mampu meladeni,cak min,dan pak fud,,setelah di ladenin,,protes Ini dan itu.,Krena kewalahan meladeni bocah ingusan.";0;0;0;0;in;1603628939125354497;1738449400673030453;Adhie_Mnoer;https://twitter.com/Adhie_Mnoer/status/1738789790932419068
Sun Dec 24 03:56:54 +0000 2023;1738770702751432705;"@gm_gm Gibran siap debat dgn siapapun, termasuk dgn katanya "budayawan", dgn Anis dan Ganjar.. Kita siapkan ruangnya";0;0;0;0;in;791385974181769216;1738119882196341080;SaifulHamdi7;https://twitter.com/SaifulHamdi7/status/1738770702751432705
Sun Dec 24 03:33:27 +0000 2023;1738764800380002775;"“Meski selama ini dianggap bocah ingusan, Mas gibran tunjukkan kedewasaan berpolitik. Bagaimana dia menjadi pemimpin di Solo dan how to solve problem menunjukkan Mas Gibran sangat layak jadi cawapres Pak Prabowo,”   Ketua DPD I Partai Golkar Jawa Timur, M. Sarmuji… https://t.co/gc0NKLdJ4k";0;0;7;7;in;721898354502930433;1738764800380002775;golkarpedia;https://twitter.com/golkarpedia/status/1738764800380002775
Sun Dec 24 02:45:20 +0000 2023;1738752688643530893;"@Yurissa_Samosir @AdamVelcro @AdeDhani9 @aking_adit @AkalSehat2024 @chaidar_2000 @Kang_Toniee @NohCeukenohhh @mustafaagus007 @choymarkochoy C gibrant itu udah dongo, beleng2 pula. Bocah ingusan dikarbit dipaksa biar cpt mateng. Yg ada impact ny bukqn mateng malah makin slebor, ngomong asal, asbun gk penting nyambung apa kagak.  Ah...gibran bgt si luh....";0;0;0;0;in;1614401446547697664;1738233759626145809;denie_irawan9;https://twitter.com/denie_irawan9/status/1738752688643530893
Sun Dec 24 02:33:21 +0000 2023;1738749675375915252;"Banyak yang ngira cuman bocah ingusan taunya udah memimpin kota gimna ga hebat coba mas Gibran ini #GibranMembuktikan #02Melanjutkan";0;0;0;0;in;1653663228537495552;1738749675375915252;Hikmatunis985;https://twitter.com/Hikmatunis985/status/1738749675375915252
Sun Dec 24 02:27:17 +0000 2023;1738748147546153320;"@PartaiSocmed @henrysubiakto Dia yg katanya sekelas Prof aja bisa tertipu dengan taktik kampanye Gibran, itu aja udah membuktikan kalau beliau haru mengakui kehebatan si Bocah Ingusan. Ingat Prof, anak 35th berani speak up diatas minbar debat Cawapres dengan hebat, berarti anak ingusan itu bukan kaleng2 😄";0;0;1;5;in;2185876733;1738598125504541102;BdtFern;https://twitter.com/BdtFern/status/1738748147546153320
Sat Dec 23 23:06:43 +0000 2023;1738697672985571534;"@KompasTV Gibran si bocah ingusan mampu memukau rakyat Indonesia";0;0;0;0;in;1599376434463531008;1738397558849130974;Phasyarah;https://twitter.com/Phasyarah/status/1738697672985571534
Sat Dec 23 16:33:36 +0000 2023;1738598742193062236;"@hanumrais @cakimiNOW @mohmahfudmd Cie.... Cie... Kolaborasi ceritanya ☝sama 🤟?   Masa sama Bocah Ingusan @gibran_tweet , yg tua2 keroyokan...   Sorry to say, Dinosaurus waktunya punah.... 🤣🤣🤣";0;0;0;0;in;1293391300616548352;1738431486540632345;killthejoker;https://twitter.com/killthejoker/status/1738598742193062236
