created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 14 13:05:34 +0000 2023;1735284899895279753;"Momen menarik ditunjukkan capres nomor urut dua Prabowo Subianto saat jeda debat perdana capres cawapres.  #prabowo #tkn #debatcapres #pilpres2024 #pemilu2024 #debat #debatpilpres #paslon02 #pilpres #pemiluserentak2024 #asik123 #slotgacor https://t.co/xXC21hhULD";0;0;0;0;in;1727634409174786048;1735284899895279753;LLawakan;https://twitter.com/LLawakan/status/1735284899895279753
Thu Dec 14 10:50:00 +0000 2023;1735250780922478883;"Setelah debat perdana capres pada Selasa lalu, cawapres nomor urut dua, Gibran Rakabuming Raka menyatakan siap menghadapi cawapres lainnya. Hal itu disampaikan oleh Gibran di Solo pada Kamis (14/12/2023). (ld)  #gibranrakabumingraka #capres #cawapres https://t.co/hUom5Wstdn";0;0;1;0;in;124171593;1735250780922478883;tribunnews;https://twitter.com/tribunnews/status/1735250780922478883
Thu Dec 14 06:33:56 +0000 2023;1735186341351342409;"Calon wakil presiden (cawapres) nomor urut dua, Gibran Rakabuming Raka meminta maaf lantaran terlalu ekspresif saat debat perdana capres-cawapres. “Ini menjadi bahan evaluasi kami ke depan. Mohon maaf ya,” kata Gibran saat dijumpai wartawan di Balai Kota Solo, Kamis (14/12/2023). https://t.co/BtwAUfaGyC";0;0;0;0;in;155169715;1735186341351342409;soloposdotcom;https://twitter.com/soloposdotcom/status/1735186341351342409
Thu Dec 14 06:13:12 +0000 2023;1735181124497023121;"https://t.co/aceqnle4Ng   Komisi Pemilihan Umum (KPU) akan mengevaluasi aksi calon wakil presiden (cawapres) nomor urut dua, Gibran Rakabuming Raka, yang meminta penonton di acara debat capres, Selasa, 12 Desember lalu bersorak-sorai.";0;0;0;0;in;1702377197938589696;1735181124497023121;Alurinfo_Ind;https://twitter.com/Alurinfo_Ind/status/1735181124497023121
Thu Dec 14 04:08:57 +0000 2023;1735149855042089455;"Calon wakil presiden nomor urut dua Gibran Rakabuming Raka mengaku akan melakukan evaluasi jika ada teguran dari KPU usai acara debat capres-cawapres yang dilaksanakan. https://t.co/hBgEPrQ1Qa";0;0;0;0;in;18071520;1735149855042089455;antaranews;https://twitter.com/antaranews/status/1735149855042089455
Thu Dec 14 03:29:58 +0000 2023;1735140043352936484;"Pada hari ke-17 kampanye Pilpres 2024, capres nomor urut 3 Ganjar Pranowo bertemu dengan pengusaha, buruh tani, nelayan, dan bersilaturahim ke pondok pesantren, sementara cawapres Mahfud MD mengunjungi dua ponpes. https://t.co/XbxBR6YEUq";0;0;1;1;in;18071520;1735140043352936484;antaranews;https://twitter.com/antaranews/status/1735140043352936484
Wed Dec 13 04:10:25 +0000 2023;1734787834853359673;"Capres nomor urut satu Anies Baswedan dan capres nomor urut dua Prabowo Subianto berdebat soal etika dalam putusan Mahkamah Konstitusi yang meloloskan kandidat capres-cawapres di bawah usia 40 tahun.  #TheElectionChannelMetroTV #debatcapres #pilpres2024 #pemilu2024 @aniesbaswedan… https://t.co/WI1dXo2muG";1;2;4;26;in;57261519;1734787834853359673;Metro_TV;https://twitter.com/Metro_TV/status/1734787834853359673
Tue Dec 12 16:11:01 +0000 2023;1734606791223410994;"Momen menarik ditunjukkan capres nomor urut dua Prabowo Subianto saat jeda debat perdana capres cawapres. Prabowo dihampiri segenap tim pemenangan dari TKN saat jeda debat.  #prabowo #tkn #TheElectionChannelMetroTV #debatcapres #pilpres2024 #pemilu2024 @prabowo https://t.co/7L2THLk2vY";1;9;8;23;in;57261519;1734606791223410994;Metro_TV;https://twitter.com/Metro_TV/status/1734606791223410994
Tue Dec 12 15:33:47 +0000 2023;1734597421437784067;"Ada yang bisa tebak kira-kira apa yang mereka bicarakan? 😏  Gelaran debat perdana calon presiden (capres) masih berlangsung. Jeda iklan debat sesi keempat, calon wakil presiden (cawapres) nomor urut dua Gibran Rakabuming Raka (@gibran_tweet)  nampak asyik berbincang dengan anak… https://t.co/GjC4Ryh1o9";0;0;0;0;in;46693036;1734597421437784067;inilahdotcom;https://twitter.com/inilahdotcom/status/1734597421437784067
Tue Dec 12 14:43:53 +0000 2023;1734584864803107277;"Capres nomor urut satu Anies Baswedan mempertanyakan perasaan capres nomor urut dua Prabowo Subianto mengenai pelanggaran etik yang mewarnai pencalonan Gibran sebagai cawapres.  #prabowosubianto #aniesbaswedan #mahkamahkonstitusi #TheElectionChannelMetroTV #debatcapres… https://t.co/Vvc1x5zu1l";3;11;33;93;in;57261519;1734584864803107277;Metro_TV;https://twitter.com/Metro_TV/status/1734584864803107277
