created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 23 14:39:31 +0000 2023;1738570032568037757;"@RomitsuT @prabowo Gemoi ( Gerakan Menculik Orang Indonesia)";0;0;0;0;in;1724002070771216384;1738449057599885364;siapayaa5555;https://twitter.com/siapayaa5555/status/1738570032568037757
Sat Dec 23 14:14:28 +0000 2023;1738563729716035596;"@RomitsuT @prabowo Emang SGiE..Si Gemoi EMOSIAN";0;0;0;0;in;1497448195906965507;1738449057599885364;hematdayaa;https://twitter.com/hematdayaa/status/1738563729716035596
Sat Dec 23 13:39:44 +0000 2023;1738554985850548435;"@RomitsuT @prabowo Yang masih punya Adab  Nilai ajalah lah sendi masih mau jadikan di gemoi jadi pemimpin negri";0;0;0;0;in;992358220994822145;1738449057599885364;usosuk1;https://twitter.com/usosuk1/status/1738554985850548435
Sat Dec 23 10:29:28 +0000 2023;1738507107492892932;"@UmarSyadatHsb__ Woiiiiii, si Gemoi nih..dikerjain sama si asam sulfat@andre_rosiade @prabowo @gibran_tweet @habiburokhman @AgusYudhoyono @SBYudhoyono @aniesbaswedan @cakimiNOW";0;0;0;0;in;1604525245838241792;1738233280703647933;pakdebude4;https://twitter.com/pakdebude4/status/1738507107492892932
Sat Dec 23 09:40:01 +0000 2023;1738494663051387312;"Lihat video prabowo gemoi! #TikTok https://t.co/H2omwnh16J";0;0;0;0;in;1636697392174206977;1738494663051387312;TrihardiR52851;https://twitter.com/TrihardiR52851/status/1738494663051387312
Sat Dec 23 04:04:57 +0000 2023;1738410337517637772;"@UyokBack ora sah nesu2 Mbah  SGIE = Si Gemoi Itu Emosian ndase @prabowo + mumet 😀😀😀";0;0;0;0;in;1606984034651078656;1738406142790017131;royson_kacung;https://twitter.com/royson_kacung/status/1738410337517637772
Fri Dec 22 23:53:24 +0000 2023;1738347032723738757;"@abu_waras BADUT ANCOL, SGIE..Si Gemoi Itu Emosian @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd @AndiSinulingga @GeiszChalifah";0;0;0;0;in;1604525245838241792;1738040173789884825;pakdebude4;https://twitter.com/pakdebude4/status/1738347032723738757
Fri Dec 22 13:10:53 +0000 2023;1738185338559107370;"@pinkypattzxz prabowo gemoi";0;1;0;0;in;1711187465749540864;1738184682200850895;littlepopl24351;https://twitter.com/littlepopl24351/status/1738185338559107370
Fri Dec 22 01:16:17 +0000 2023;1738005503018663966;"@Dennysiregar7 Yg panik itu org yg buat isu ini... jokowi mah santai aja!!! Jalani sisa masa jabatan.. klu prabowo santai jg sambil goyang gemoi hadapi pilpres.. mereka udh yakin menang, toh survei jg rata2 dimenangkan mereka...";0;2;0;3;in;821361234855366656;1737874350529802304;nyong_tadampar;https://twitter.com/nyong_tadampar/status/1738005503018663966
Thu Dec 21 17:18:05 +0000 2023;1737885161243791427;"@fadlizon @prabowo @Gerindra Gemoi sekali pak Prabowo aku padamu";0;0;0;0;in;1673686858826653699;1736596563596849477;itansiatan;https://twitter.com/itansiatan/status/1737885161243791427
Thu Dec 21 17:17:54 +0000 2023;1737885115806810609;"@fadlizon @prabowo @Gerindra Makin hari pak Prabowo makin gemoi aja";0;0;0;0;in;1627008070575587328;1736596563596849477;lopacla;https://twitter.com/lopacla/status/1737885115806810609
Thu Dec 21 17:13:09 +0000 2023;1737883921474605385;"@Hasbil_Lbs Pak Prabowo sangat amat gemoi sekali";0;0;0;0;in;1627007356851871744;1737455707337974001;ririn0ya;https://twitter.com/ririn0ya/status/1737883921474605385
Thu Dec 21 12:55:05 +0000 2023;1737818974015111324;"@Beritasatu Semua mendukung pak Prabowo gemoi";0;0;0;0;in;1728035436902367232;1737634124821856484;FarishaRestu;https://twitter.com/FarishaRestu/status/1737818974015111324
Thu Dec 21 05:19:10 +0000 2023;1737704239785545932;"@VIVAcoid @aniesmania Prabowo sibuk goyang gemoi sambil bilang Ndasmu dibelakang utk lawan politiknya🤗👍";0;0;0;0;in;1605189327533002752;1737442029100310991;Didit3Ahmadi;https://twitter.com/Didit3Ahmadi/status/1737704239785545932
Wed Dec 20 13:41:12 +0000 2023;1737468191356395655;"@kumparan Pak Prabowo tetep gemoi selalu";0;0;0;0;in;1627008070575587328;1737332282288173501;lopacla;https://twitter.com/lopacla/status/1737468191356395655
Wed Dec 20 13:23:45 +0000 2023;1737463800818020714;"@tribunnews Pak Prabowo makin gemoi aja si hihi";0;0;0;0;in;1673686858826653699;1737095438900117983;itansiatan;https://twitter.com/itansiatan/status/1737463800818020714
Wed Dec 20 13:13:48 +0000 2023;1737461296671711533;"@kompascom Prabowo makin gemoi mas gibran makin ganteng";0;0;0;0;in;1673686858826653699;1737303573892063585;itansiatan;https://twitter.com/itansiatan/status/1737461296671711533
