,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Kandidat
0,Thu Dec 14 05:15:57 +0000 2023,1735166716563673457,Jaringan Perempuan Nahdliyin untuk ANIS MUHAIMIN Bersama Sekjen DPC PKB Kabupaten Purworejo Bpk. Toha Mahasin https://t.co/0GBgnuWVYF,0,0,0,0,in,1222731781444489216,1735166716563673457,PkbPurworejo,https://twitter.com/PkbPurworejo/status/1735166716563673457,Anies-Muhaimin
1,Thu Dec 14 04:32:00 +0000 2023,1735155653902270493,"@BosPurwa Setelah melihat debat kemaren, tanpa pikir panjang sy dan warga sekampung pun langsung beralih mendukung Anis/Muhaimin. Alasannya sederhana, karna kami masih waras.",0,0,0,0,in,1428102822130642944,1734853374695354729,BaladewaDon,https://twitter.com/BaladewaDon/status/1735155653902270493,Anies-Muhaimin
2,Thu Dec 14 03:16:38 +0000 2023,1735136689893585208,"@pemilunetwork Isi Komen banyak Anis-Muhaimin, AMIN menang.",0,0,0,0,in,219564339,1734443620344963191,sahrulmartenank,https://twitter.com/sahrulmartenank/status/1735136689893585208,Anies-Muhaimin
3,Thu Dec 14 03:15:17 +0000 2023,1735136350368944248,@sigitwid Telak banget ya..#AnisMuhaimin mantap,0,0,0,0,in,1376980848,1734594771778511305,AmLoebis,https://twitter.com/AmLoebis/status/1735136350368944248,Anies-Muhaimin
4,Thu Dec 14 03:13:31 +0000 2023,1735135902266175677,@sobat_anies Ampe julurin lidah ya..kayak itu tu.. #AnisMuhaimin,0,0,0,0,in,1376980848,1734768732235571476,AmLoebis,https://twitter.com/AmLoebis/status/1735135902266175677,Anies-Muhaimin
5,Thu Dec 14 00:39:27 +0000 2023,1735097131315384708,@SiswantoBudiut5 Smg psngn amin anis muhaimin yg alloh kehendaki menang mutlak Aamiin🤲🤲🤲,0,0,0,0,in,1556890638112915456,1734766200553668728,lutnisah,https://twitter.com/lutnisah/status/1735097131315384708,Anies-Muhaimin
6,Wed Dec 13 23:47:40 +0000 2023,1735084102381158703,@AndisBoga @muchlis_ar Bismillah smg alloh takdirkan no urut 01 yg menang mutlak d setiap propinsi Aamiin Smg semua akn anis muhaimin pda waqtunya Aamiin Smg alloh ridho untuk kemenngn psngn anis muhaimin Aamiin,0,0,0,4,in,1556890638112915456,1734859397074169919,lutnisah,https://twitter.com/lutnisah/status/1735084102381158703,Anies-Muhaimin
7,Wed Dec 13 23:41:37 +0000 2023,1735082576371671085,@Muslim_AntiPKI9 Sy susah mau ngomong apa.. pokok nya Anis Muhaimin is the best!!,0,0,0,0,in,1499756935796899844,1734643267487031549,AkhirZainul,https://twitter.com/AkhirZainul/status/1735082576371671085,Anies-Muhaimin
8,Wed Dec 13 23:19:38 +0000 2023,1735077045229715593,@DokterTifa Semoga sehat pak prabowo!! dan bisa menyaksikan dan menghadiri  acara pelantikan Anis Muhaimin sebagai presiden dan wakil presiden,5,38,19,592,in,1648331505897439232,1735069979157176530,lukmandede799,https://twitter.com/lukmandede799/status/1735077045229715593,Anies-Muhaimin
9,Wed Dec 13 23:00:26 +0000 2023,1735072212154216667,@FirzaHusain Untuk rakyat yg ingin perubahan pilih anis muhaimin,0,0,0,0,in,1716731063899508736,1734796605029802183,Rafika339531222,https://twitter.com/Rafika339531222/status/1735072212154216667,Anies-Muhaimin
10,Wed Dec 13 19:38:37 +0000 2023,1735021425982066758,"@zainul_munas Maklum kang @zainul_munas yg sebelah mulai kebakaran dan sadar akan kalah wkwkwk,  #AMIN #ALLINAMIN #ANIS #muhaimin",0,0,0,2,in,1467216354650451970,1735011112574468587,iqbalcandrabu,https://twitter.com/iqbalcandrabu/status/1735021425982066758,Anies-Muhaimin
11,Wed Dec 13 16:31:57 +0000 2023,1734974449282318781,"@PDemokrat Insya Allah pak bersama pak anis Muhaimin, kemakmuran dan kesejahteraan rakyat Indonesia akan tercipta rasa keadilan akan lebih terasa...",0,0,0,1,in,3315182265,1734805962924642352,_manajanjimu,https://twitter.com/_manajanjimu/status/1734974449282318781,Anies-Muhaimin
12,Wed Dec 13 14:07:38 +0000 2023,1734938132322435473,"@geloraco Tak ada debat pun,saya sekeluarga akan tetap mendukung ANIS- MUHAIMIN.",0,0,0,1,in,1489619949807370242,1734605078882086989,Pemanah60139933,https://twitter.com/Pemanah60139933/status/1734938132322435473,Anies-Muhaimin
13,Wed Dec 13 14:01:19 +0000 2023,1734936542035284185,"hmm calon presiden dan wakil nya berkasus di kpk ( cek di google : ketik kasus Anis &amp  Muhaimin di kpk, emang engga ada calon yg bersih?",0,0,0,0,in,1525146080689946624,1734936542035284185,Rusky69315101,https://twitter.com/Rusky69315101/status/1734936542035284185,Anies-Muhaimin
14,Wed Dec 13 13:45:51 +0000 2023,1734932647326240900,Anis- Muhaimin berkasus di kpk....( cek kasus nya di google  ketik kasus anis dan Muhaimin di kpk) emang mau punya pemimpin track record yg jelek..,0,0,0,0,in,1525146080689946624,1734932647326240900,Rusky69315101,https://twitter.com/Rusky69315101/status/1734932647326240900,Anies-Muhaimin
15,Wed Dec 13 13:37:30 +0000 2023,1734930546655105193,"@aniesbaswedan Anis dan Muhaimin termasuk berkasus di kpk , dan ini satunya calon di dunia yg mn calon presiden dan wakil presiden tersandung kasus di kpk ( cek &amp  ketik di google   kasus anis &amp  muhaimin di kpk) emang engga malu calon presiden nya berkasus di kpk)",0,0,0,0,in,1525146080689946624,1734832913097900238,Rusky69315101,https://twitter.com/Rusky69315101/status/1734930546655105193,Anies-Muhaimin
16,Wed Dec 13 12:04:45 +0000 2023,1734907207089791186,@PutraErlangga95 Insya Allah Anis -Muhaimin MENANG 1 Putaran Aamii,0,0,0,0,in,2919163734,1734559037415674038,cowokkeren72,https://twitter.com/cowokkeren72/status/1734907207089791186,Anies-Muhaimin
17,Wed Dec 13 12:04:04 +0000 2023,1734907032548044814,@sigitwid Alhamdulillah anis Muhaimin unggul sementara.... Mudah mudahan bisa menangi pilpres AMIN,0,0,0,0,in,1589786566695669760,1734594771778511305,ErzafHa,https://twitter.com/ErzafHa/status/1734907032548044814,Anies-Muhaimin
18,Wed Dec 13 11:50:11 +0000 2023,1734903539288465653,@ganjarpranowo Insya Allah Anis-Muhaimin MENANG 1 PUTARAN Saja Aamiin https://t.co/EQHIcPCA0X,0,0,0,2,in,2919163734,1734612137694368190,cowokkeren72,https://twitter.com/cowokkeren72/status/1734903539288465653,Anies-Muhaimin
