,created_at,quote_count,reply_count,retweet_count,favorite_count,username,tweet_url,Kandidat,tweets
0,Thu Dec 14 05:15:57 +0000 2023,0.0,0,0.0,0.0,PkbPurworejo,https://twitter.com/PkbPurworejo/status/1735166716563673457,Anies-Muhaimin,Nahdliyin Women's Network for ANIS MUHAIMIN Together with Secretary General of DPC PKB Purworejo Regency Mr. Toha Mahasin
1,Thu Dec 14 04:32:00 +0000 2023,0.0,0,0.0,0.0,BaladewaDon,https://twitter.com/BaladewaDon/status/1735155653902270493,Anies-Muhaimin,"After seeing yesterday's debate, without thinking twice, I and the residents of my village immediately switched to supporting Anis Muhaimin. The reason is simple because we are still sane."
2,Thu Dec 14 03:16:38 +0000 2023,0.0,0,0.0,0.0,sahrulmartenank,https://twitter.com/sahrulmartenank/status/1735136689893585208,Anies-Muhaimin,Fill in the comments many Anis Muhaimin AMIN win
3,Thu Dec 14 03:15:17 +0000 2023,0.0,0,0.0,0.0,AmLoebis,https://twitter.com/AmLoebis/status/1735136350368944248,Anies-Muhaimin,"That's really great, Anis Muhaimin"
4,Thu Dec 14 03:13:31 +0000 2023,0.0,0,0.0,0.0,AmLoebis,https://twitter.com/AmLoebis/status/1735135902266175677,Anies-Muhaimin,"Anies Ampe stick out your tongue like that, Anis Muhaimin"
5,Thu Dec 14 00:39:27 +0000 2023,0.0,0,0.0,0.0,lutnisah,https://twitter.com/lutnisah/status/1735097131315384708,Anies-Muhaimin,Please amen anis muhaimin who allah wants to win absolutely Amen
6,Wed Dec 13 23:47:40 +0000 2023,0.0,0,0.0,4.0,lutnisah,https://twitter.com/lutnisah/status/1735084102381158703,Anies-Muhaimin,"ar In the name of Allah, may Allah determine the number 01 to be the absolute winner in every province Aamiin May all of you be anis muhaimin at the right time Amen May Allah be pleased with the victory of Anis Muhaimin's partner Amen"
7,Wed Dec 13 23:41:37 +0000 2023,0.0,0,0.0,0.0,AkhirZainul,https://twitter.com/AkhirZainul/status/1735082576371671085,Anies-Muhaimin,AntiPKI9 I'm having a hard time saying what the point is that Anis Muhaimin is the best
8,Wed Dec 13 23:19:38 +0000 2023,5.0,38,19.0,592.0,lukmandede799,https://twitter.com/lukmandede799/status/1735077045229715593,Anies-Muhaimin,I hope Mr Prabowo is healthy and can watch and attend the inauguration of Anis Muhaimin as president and vice president
9,Wed Dec 13 23:00:26 +0000 2023,0.0,0,0.0,0.0,Rafika339531222,https://twitter.com/Rafika339531222/status/1735072212154216667,Anies-Muhaimin,"For people who want change, choose Anis Muhaimin"
