,created_at,full_text,quote_count,reply_count,retweet_count,favorite_count,username,tweet_url,Kandidat
0,Thu Dec 14 05:15:57 +0000 2023,Jaringan Perempuan Nahdliyin untuk ANIS MUHAIMIN Bersama Sekjen DPC PKB Kabupaten Purworejo Bpk Toha Mahasin,0.0,0,0.0,0.0,PkbPurworejo,https://twitter.com/PkbPurworejo/status/1735166716563673457,Anies-Muhaimin
1,Thu Dec 14 04:32:00 +0000 2023,Setelah melihat debat kemaren tanpa pikir panjang sy dan warga sekampung pun langsung beralih mendukung Anis Muhaimin Alasannya sederhana karna kami masih waras,0.0,0,0.0,0.0,BaladewaDon,https://twitter.com/BaladewaDon/status/1735155653902270493,Anies-Muhaimin
2,Thu Dec 14 03:16:38 +0000 2023,Isi Komen banyak Anis Muhaimin AMIN menang,0.0,0,0.0,0.0,sahrulmartenank,https://twitter.com/sahrulmartenank/status/1735136689893585208,Anies-Muhaimin
3,Thu Dec 14 03:15:17 +0000 2023,Telak banget ya AnisMuhaimin mantap,0.0,0,0.0,0.0,AmLoebis,https://twitter.com/AmLoebis/status/1735136350368944248,Anies-Muhaimin
4,Thu Dec 14 03:13:31 +0000 2023,anies Ampe julurin lidah ya kayak itu tu AnisMuhaimin,0.0,0,0.0,0.0,AmLoebis,https://twitter.com/AmLoebis/status/1735135902266175677,Anies-Muhaimin
5,Thu Dec 14 00:39:27 +0000 2023,Smg psngn amin anis muhaimin yg alloh kehendaki menang mutlak Aamiin,0.0,0,0.0,0.0,lutnisah,https://twitter.com/lutnisah/status/1735097131315384708,Anies-Muhaimin
6,Wed Dec 13 23:47:40 +0000 2023,ar Bismillah smg alloh takdirkan no urut 01 yg menang mutlak d setiap propinsi Aamiin Smg semua akn anis muhaimin pda waqtunya Aamiin Smg alloh ridho untuk kemenngn psngn anis muhaimin Aamiin,0.0,0,0.0,4.0,lutnisah,https://twitter.com/lutnisah/status/1735084102381158703,Anies-Muhaimin
7,Wed Dec 13 23:41:37 +0000 2023,AntiPKI9 Sy susah mau ngomong apa pokok nya Anis Muhaimin is the best,0.0,0,0.0,0.0,AkhirZainul,https://twitter.com/AkhirZainul/status/1735082576371671085,Anies-Muhaimin
8,Wed Dec 13 23:19:38 +0000 2023,Semoga sehat pak prabowo dan bisa menyaksikan dan menghadiri acara pelantikan Anis Muhaimin sebagai presiden dan wakil presiden,5.0,38,19.0,592.0,lukmandede799,https://twitter.com/lukmandede799/status/1735077045229715593,Anies-Muhaimin
9,Wed Dec 13 23:00:26 +0000 2023,Untuk rakyat yg ingin perubahan pilih anis muhaimin,0.0,0,0.0,0.0,Rafika339531222,https://twitter.com/Rafika339531222/status/1735072212154216667,Anies-Muhaimin
10,Wed Dec 13 19:38:37 +0000 2023,munas Maklum kang munas yg sebelah mulai kebakaran dan sadar akan kalah wkwkwk AMIN ALLINAMIN ANIS muhaimin,0.0,0,0.0,2.0,iqbalcandrabu,https://twitter.com/iqbalcandrabu/status/1735021425982066758,Anies-Muhaimin
11,Wed Dec 13 16:31:57 +0000 2023,Insya Allah pak bersama pak anis Muhaimin kemakmuran dan kesejahteraan rakyat Indonesia akan tercipta rasa keadilan akan lebih terasa,0.0,0,0.0,1.0,_manajanjimu,https://twitter.com/_manajanjimu/status/1734974449282318781,Anies-Muhaimin
12,Wed Dec 13 14:07:38 +0000 2023,Tak ada debat pun saya sekeluarga akan tetap mendukung ANIS MUHAIMIN,0.0,0,0.0,1.0,Pemanah60139933,https://twitter.com/Pemanah60139933/status/1734938132322435473,Anies-Muhaimin
13,Wed Dec 13 14:01:19 +0000 2023,hmm calon presiden dan wakil nya berkasus di kpk cek di google ketik kasus Anis amp Muhaimin di kpk emang engga ada calon yg bersih,0.0,0,0.0,0.0,Rusky69315101,https://twitter.com/Rusky69315101/status/1734936542035284185,Anies-Muhaimin
14,Wed Dec 13 13:45:51 +0000 2023,Anis Muhaimin berkasus di kpk cek kasus nya di google ketik kasus anis dan Muhaimin di kpk emang mau punya pemimpin track record yg jelek,0.0,0,0.0,0.0,Rusky69315101,https://twitter.com/Rusky69315101/status/1734932647326240900,Anies-Muhaimin
15,Wed Dec 13 13:37:30 +0000 2023,Anis dan Muhaimin termasuk berkasus di kpk dan ini satunya calon di dunia yg mn calon presiden dan wakil presiden tersandung kasus di kpk cek amp ketik di google kasus anis amp muhaimin di kpk emang engga malu calon presiden nya berkasus di kpk,0.0,0,0.0,0.0,Rusky69315101,https://twitter.com/Rusky69315101/status/1734930546655105193,Anies-Muhaimin
16,Wed Dec 13 12:04:45 +0000 2023,Insya Allah Anis Muhaimin MENANG 1 Putaran Aamii,0.0,0,0.0,0.0,cowokkeren72,https://twitter.com/cowokkeren72/status/1734907207089791186,Anies-Muhaimin
17,Wed Dec 13 12:04:04 +0000 2023,Alhamdulillah anis Muhaimin unggul sementara Mudah mudahan bisa menangi pilpres AMIN,0.0,0,0.0,0.0,ErzafHa,https://twitter.com/ErzafHa/status/1734907032548044814,Anies-Muhaimin
18,Wed Dec 13 11:50:11 +0000 2023,Insya Allah Anis Muhaimin MENANG 1 PUTARAN Saja Aamiin,0.0,0,0.0,2.0,cowokkeren72,https://twitter.com/cowokkeren72/status/1734903539288465653,Anies-Muhaimin
19,Wed Dec 13 11:33:26 +0000 2023,GUS KAUTSAR DARI PONPES PLOSO JOMBANG MOJO MEMBERIKAN STATMENNYA TUK DUKUNG NO 1 AMIN ANIS MUHAIMIN,0.0,0,1.0,2.0,Paman_J,https://twitter.com/Paman_J/status/1734899326206537983,Anies-Muhaimin
20,Wed Dec 13 09:02:59 +0000 2023,MudaNU Tetep GAMA Grup Anis Muhaimin AMIN,0.0,0,0.0,0.0,WWirdayati30483,https://twitter.com/WWirdayati30483/status/1734861460910866870,Anies-Muhaimin
21,Wed Dec 13 07:27:28 +0000 2023,Kita rakyat Indonesia jangan kebanyakan mikir cukup AMINin aja Indonesia pasti sejahtera bersama anis muhaimin,0.0,0,0.0,0.0,RiniFit72754896,https://twitter.com/RiniFit72754896/status/1734837423123890447,Anies-Muhaimin
22,Wed Dec 13 07:05:15 +0000 2023,Pendukung prabowo membuat poling nih hasilnya anis Muhaimin 83 Ga Malu ta ngaku ngaku hasil sur vey prabowo paling tinggi,0.0,0,0.0,0.0,wong_baek,https://twitter.com/wong_baek/status/1734831832741589041,Anies-Muhaimin
23,Wed Dec 13 05:50:36 +0000 2023,Asyiaaaaaap bener2 kecewa sy telah dukung dan kampanyein Bapak sejak 2014 Skrg total dukung Anis Muhaimin,0.0,0,0.0,0.0,s1g3tari,https://twitter.com/s1g3tari/status/1734813047896801718,Anies-Muhaimin
24,Wed Dec 13 05:50:18 +0000 2023,Anis muhaimin pastinya,0.0,0,0.0,0.0,rafli_stor26181,https://twitter.com/rafli_stor26181/status/1734812972533649570,Anies-Muhaimin
25,Wed Dec 13 04:36:53 +0000 2023,Lawak lawak u juga bisa bikin seolaolah di suruh dan di gerakan dari kubu lawan politik u Anis Muhaimin mah orang cerdas tidak berpolitik dengan cara kotor kalau Prabowo mungkin saja bgtu,0.0,0,0.0,0.0,CHR6694,https://twitter.com/CHR6694/status/1734794496171471270,Anies-Muhaimin
